Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,2.5,3.4,0.06,0.08,0,0,8.54,0,0,1.8,8.66,1.713,868,35,1013
2,0.8,,,,2.5,3.4,0.06,0.08,0,0,8.53,0,0,1.8,8.66,1.714,868,,
3,1.2,,,,2.5,3.4,0.06,0.08,0,0,8.53,0,0,1.8,8.66,1.714,869,,
4,1.6,,,,2.5,3.4,0.06,0.08,0,0,8.53,0,0,1.8,8.66,1.714,869,,
5,2,,,,2.5,3.4,0.06,0.08,0,0,8.53,0,0,1.8,8.66,1.714,869,,
6,2.4,,,,2.5,3.4,0.06,0.08,0,0,8.38,0,0,1.8,8.7,1.73,866,,
7,2.8,,,,2.5,3.4,0.06,0.08,0,0,8.36,0,0,1.8,8.8,1.74,866,,
8,3.2,,,,2.5,3.4,0.06,0.08,0,0,8.35,0,0,1.8,8.85,1.745,862,,
9,3.6,,,,2.5,3.4,0.06,0.08,0,0,8.35,0,0,1.8,8.8,1.741,857,,
10,4,,,,2.5,3.4,0.06,0.08,0,0,8.35,0,0,1.8,8.8,1.741,857,,
11,4.4,,,,2.5,3.4,0.06,0.08,0,0,8.36,0,0,1.8,8.71,1.732,846,,
12,4.8,,,,2.5,3.4,0.06,0.08,0,0,8.37,0,0,1.8,8.62,1.724,834,,
13,5.2,,,,2.4,3.4,0.06,0.08,0,0,8.43,0,0,1.8,8.55,1.713,820,,
14,5.6,,,,2.4,3.4,0.06,0.08,0,0,8.47,0,0,1.8,8.49,1.705,808,,
15,6,,,,2.3,3.4,0.05,0.08,0,0,8.47,0,0,1.8,8.49,1.705,808,,
16,6.4,,,,2.3,3.4,0.05,0.08,0,0,8.55,0,0,1.8,8.45,1.695,800,,
17,6.8,,,,2.3,3.4,0.05,0.08,0,0,8.58,0,0,1.7,8.42,1.69,793,,
18,7.2,,,,2.4,3.4,0.06,0.08,0,0,8.63,0,0,1.7,8.39,1.683,792,,
19,7.6,,,,2.3,3.4,0.05,0.08,0,0,8.63,0,0,1.7,8.37,1.682,790,,
20,8,,,,2.3,3.4,0.05,0.08,0,0,8.63,0,0,1.7,8.37,1.682,790,,
21,8.4,,,,2.3,3.4,0.05,0.08,0,0,8.64,0,0,1.7,8.36,1.68,790,,
22,8.8,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.36,1.679,790,,
23,9.2,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.36,1.679,788,,
24,9.6,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.35,1.678,788,,
25,10,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.35,1.678,788,,
26,10.4,,,,2.3,3.4,0.05,0.08,0,0,8.67,0,0,1.7,8.35,1.677,786,,
27,10.8,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.36,1.679,786,,
28,11.2,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.35,1.678,784,,
29,11.6,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.35,1.678,783,,
30,12,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.35,1.678,783,,
31,12.4,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.34,1.677,783,,
32,12.8,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.35,1.678,782,,
33,13.2,,,,2.4,3.4,0.06,0.08,0,0,8.66,0,0,1.7,8.36,1.679,783,,
34,13.6,,,,2.3,3.4,0.05,0.08,0,0,8.67,0,0,1.7,8.37,1.679,783,,
35,14,,,,2.3,3.4,0.05,0.08,0,0,8.67,0,0,1.7,8.37,1.679,783,,
36,14.4,,,,2.2,3.4,0.05,0.08,0,0,8.67,0,0,1.7,8.38,1.679,783,,
37,14.8,,,,2.3,3.4,0.05,0.08,0,0,8.67,0,0,1.7,8.38,1.679,784,,
38,15.2,,,,2.3,3.4,0.05,0.08,0,0,8.66,0,0,1.7,8.38,1.68,785,,
