Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,2.1,2.5,0.05,0.06,0.03,0.05,9.18,52,85,1.6,7.78,1.587,814,35,1013
2,0.8,,,,2.1,2.5,0.05,0.06,0.03,0.05,9.19,52,85,1.6,7.73,1.583,822,,
3,1.2,,,,2.2,2.5,0.05,0.06,0.03,0.05,9.21,52,84,1.6,7.68,1.578,828,,
4,1.6,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.22,52,84,1.6,7.65,1.576,834,,
5,2,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.22,52,84,1.6,7.65,1.576,834,,
6,2.4,,,,1.9,2.5,0.04,0.06,0.02,0.03,9.26,53,86,1.6,7.61,1.57,839,,
7,2.8,,,,1.8,2.5,0.04,0.06,0.02,0.03,9.27,53,86,1.6,7.59,1.568,843,,
8,3.2,,,,1.9,2.5,0.04,0.06,0.02,0.03,9.29,53,85,1.6,7.56,1.565,847,,
9,3.6,,,,1.9,2.5,0.04,0.06,0.02,0.03,9.3,53,85,1.6,7.53,1.562,849,,
10,4,,,,2,2.5,0.05,0.06,0.02,0.03,9.3,53,85,1.6,7.53,1.562,849,,
11,4.4,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.51,1.56,850,,
12,4.8,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.49,1.558,851,,
13,5.2,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.5,1.559,854,,
14,5.6,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.5,1.559,854,,
15,6,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.51,1.56,855,,
16,6.4,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.53,1.561,855,,
17,6.8,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.31,53,85,1.6,7.54,1.562,855,,
18,7.2,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.32,53,85,1.6,7.55,1.562,855,,
19,7.6,,,,2.1,2.5,0.05,0.06,0.01,0.02,9.32,53,85,1.6,7.6,1.567,856,,
20,8,,,,2.1,2.5,0.05,0.06,0.02,0.03,9.32,53,85,1.6,7.55,1.562,856,,
21,8.4,,,,2,2.5,0.05,0.06,0.02,0.03,9.33,53,85,1.6,7.54,1.561,856,,
22,8.8,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.53,1.56,855,,
23,9.2,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.52,1.56,857,,
24,9.6,,,,1.6,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.52,1.56,857,,
25,10,,,,1.7,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.51,1.559,857,,
26,10.4,,,,1.6,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.52,1.56,860,,
27,10.8,,,,1.7,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.53,1.56,861,,
28,11.2,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.54,1.561,863,,
29,11.6,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.34,53,85,1.6,7.54,1.561,863,,
30,12,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.55,1.561,863,,
31,12.4,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.55,1.561,863,,
32,12.8,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.56,1.562,863,,
33,13.2,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.56,1.562,863,,
34,13.6,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.56,1.562,863,,
35,14,,,,1.7,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.56,1.562,861,,
36,14.4,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.54,1.561,860,,
37,14.8,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.52,1.559,861,,
38,15.2,,,,1.7,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.51,1.558,860,,
39,15.6,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.35,53,85,1.6,7.51,1.558,860,,
40,16,,,,2,2.5,0.05,0.06,0.01,0.02,9.35,53,85,1.6,7.51,1.558,860,,
41,16.4,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,53,85,1.6,7.51,1.558,863,,
42,16.8,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,53,85,1.6,7.51,1.558,863,,
43,17.2,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.52,1.558,866,,
44,17.6,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.52,1.558,866,,
45,18,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.52,1.558,868,,
46,18.4,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.53,1.559,869,,
47,18.8,,,,1.8,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.54,1.56,871,,
48,19.2,,,,1.9,2.5,0.04,0.06,0.01,0.02,9.36,54,86,1.6,7.54,1.56,871,,
49,19.6,,,,2,2.5,0.05,0.06,0.01,0.02,9.36,54,86,1.6,7.54,1.56,871,,
50,20,,,,2,2.5,0.05,0.06,0.01,0.02,9.36,54,86,1.6,7.54,1.56,873,,
51,20.4,,,,2.1,2.5,0.05,0.06,0,0,9.36,54,87,1.6,7.54,1.561,873,,
52,20.8,,,,2,2.5,0.05,0.06,0,0,9.37,54,86,1.6,7.54,1.56,874,,
53,21.2,,,,1.6,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.53,1.558,875,,
54,21.6,,,,1.6,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.53,1.558,875,,
55,22,,,,1.7,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.52,1.557,874,,
56,22.4,,,,1.7,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.51,1.556,875,,
57,22.8,,,,1.9,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.5,1.556,874,,
58,23.2,,,,2,2.5,0.05,0.06,0,0,9.4,54,86,1.6,7.51,1.556,876,,
59,23.6,,,,2,2.5,0.05,0.06,0,0,9.4,54,86,1.6,7.51,1.556,876,,
60,24,,,,1.9,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.52,1.557,874,,
61,24.4,,,,1.7,2.5,0.04,0.06,0,0,9.4,54,86,1.6,7.53,1.558,873,,
62,24.8,,,,1.7,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.53,1.557,871,,
63,25.2,,,,1.8,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.52,1.556,870,,
64,25.6,,,,1.8,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.52,1.556,870,,
65,26,,,,1.8,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.52,1.556,869,,
66,26.4,,,,1.8,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.52,1.556,868,,
67,26.8,,,,1.6,2.5,0.04,0.06,0,0,9.41,54,86,1.6,7.51,1.556,867,,
68,27.2,,,,1.7,2.5,0.04,0.06,0,0,9.42,54,86,1.6,7.51,1.555,868,,
