Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,3.2,3.4,0.08,0.08,0.03,0.05,9.84,53,81,1.5,6.85,1.482,916,35,1013
2,0.8,,,,3.3,3.4,0.08,0.08,0.03,0.05,9.84,53,81,1.5,6.85,1.482,915,,
3,1.2,,,,3.3,3.4,0.08,0.08,0.03,0.05,9.84,53,81,1.5,6.86,1.482,913,,
4,1.6,,,,3.3,3.4,0.08,0.08,0.03,0.05,9.84,53,81,1.5,6.89,1.485,913,,
5,2,,,,3.2,3.4,0.08,0.08,0.03,0.05,9.84,53,81,1.5,6.89,1.485,913,,
6,2.4,,,,2.8,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.92,1.487,911,,
7,2.8,,,,2.9,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.92,1.487,909,,
8,3.2,,,,2.9,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.92,1.487,909,,
9,3.6,,,,2.8,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.92,1.487,907,,
10,4,,,,3.1,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.92,1.487,907,,
11,4.4,,,,3.1,3.4,0.07,0.08,0.03,0.05,9.84,53,81,1.5,6.94,1.488,909,,
12,4.8,,,,3.2,3.4,0.08,0.08,0.03,0.05,9.85,53,80,1.5,6.94,1.488,908,,
13,5.2,,,,3,3.4,0.07,0.08,0.03,0.05,9.86,53,80,1.5,6.92,1.486,907,,
14,5.6,,,,2.9,3.4,0.07,0.08,0.03,0.05,9.86,53,80,1.5,6.92,1.486,907,,
15,6,,,,2.9,3.4,0.07,0.08,0.03,0.05,9.86,53,80,1.5,6.88,1.483,907,,
16,6.4,,,,2.9,3.4,0.07,0.08,0.03,0.05,9.87,53,80,1.5,6.85,1.48,902,,
