Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.99,45,84,1.9,9.35,1.815,717,35,1013
2,0.8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,45,84,1.9,9.35,1.816,717,,
3,1.2,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,45,84,1.9,9.35,1.816,720,,
4,1.6,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,45,84,1.9,9.35,1.816,720,,
5,2,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,45,85,1.9,9.42,1.823,720,,
6,2.4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.58,1.838,719,,
7,2.8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.95,44,83,1.9,9.67,1.847,717,,
8,3.2,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.95,44,83,1.9,9.64,1.845,710,,
9,3.6,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.95,44,83,1.9,9.64,1.845,710,,
10,4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.95,44,83,1.9,9.54,1.836,705,,
11,4.4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.44,1.826,698,,
12,4.8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.37,1.82,694,,
13,5.2,,,,1.2,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.32,1.815,691,,
14,5.6,,,,1.2,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.32,1.815,691,,
15,6,,,,1.2,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.29,1.813,692,,
16,6.4,,,,1.2,3.4,0.03,0.08,0.01,0.02,7.96,44,83,1.9,9.27,1.811,693,,
17,6.8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,44,83,1.9,9.27,1.81,696,,
18,7.2,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,43,81,1.9,9.26,1.809,697,,
19,7.6,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,43,81,1.9,9.26,1.809,697,,
20,8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,43,81,1.9,9.26,1.809,700,,
21,8.4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,43,81,1.9,9.27,1.81,701,,
22,8.8,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.97,43,81,1.9,9.27,1.81,702,,
23,9.2,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,43,81,1.9,9.27,1.809,701,,
24,9.6,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,43,81,1.9,9.27,1.809,701,,
25,10,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,43,81,1.9,9.26,1.808,702,,
26,10.4,,,,1.1,3.4,0.03,0.08,0.01,0.02,7.98,43,81,1.9,9.25,1.807,702,,
27,10.8,,,,1.1,3.4,0.03,0.08,0,0,7.98,43,81,1.9,9.25,1.809,702,,
28,11.2,,,,1.1,3.4,0.03,0.08,0,0,7.98,43,81,1.9,9.25,1.809,702,,
29,11.6,,,,1.1,3.4,0.03,0.08,0,0,7.98,43,81,1.9,9.25,1.809,703,,
30,12,,,,1.1,3.4,0.03,0.08,0,0,7.98,43,81,1.9,9.25,1.809,703,,
31,12.4,,,,1.2,3.4,0.03,0.08,0,0,7.98,42,79,1.9,9.26,1.81,704,,
32,12.8,,,,1.1,3.4,0.03,0.08,0,0,7.98,42,79,1.9,9.26,1.81,703,,
33,13.2,,,,1.2,3.4,0.03,0.08,0,0,7.98,42,79,1.9,9.26,1.81,703,,
34,13.6,,,,1.2,3.4,0.03,0.08,0,0,7.99,42,79,1.9,9.27,1.81,703,,
35,14,,,,1.2,3.4,0.03,0.08,0,0,7.99,42,79,1.9,9.27,1.81,704,,
36,14.4,,,,1.1,3.4,0.03,0.08,0,0,7.99,42,79,1.9,9.27,1.81,703,,
37,14.8,,,,1.2,3.4,0.03,0.08,0,0,7.99,42,79,1.9,9.26,1.809,701,,
38,15.2,,,,1.2,3.4,0.03,0.08,0,0,7.99,42,79,1.9,9.26,1.809,701,,
39,15.6,,,,1.1,3.4,0.03,0.08,0,0,8,42,79,1.9,9.26,1.808,702,,
40,16,,,,1.2,3.4,0.03,0.08,0,0,8,42,79,1.9,9.26,1.808,701,,
41,16.4,,,,1.2,3.4,0.03,0.08,0,0,8,42,79,1.9,9.26,1.808,701,,
42,16.8,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.26,1.807,702,,
43,17.2,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.26,1.807,702,,
44,17.6,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.26,1.807,703,,
45,18,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.27,1.808,704,,
46,18.4,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.26,1.807,704,,
47,18.8,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.27,1.808,705,,
48,19.2,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.27,1.808,705,,
49,19.6,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.28,1.809,706,,
50,20,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.3,1.811,706,,
51,20.4,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.31,1.811,704,,
52,20.8,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.3,1.811,703,,
53,21.2,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.3,1.811,703,,
54,21.6,,,,1.2,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.28,1.809,701,,
55,22,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.26,1.807,698,,
56,22.4,,,,1.1,3.4,0.03,0.08,0,0,8.01,42,79,1.9,9.25,1.806,696,,
57,22.8,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.24,1.804,697,,
58,23.2,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.24,1.804,697,,
59,23.6,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.25,1.805,698,,
60,24,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.26,1.806,700,,
61,24.4,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.27,1.807,702,,
62,24.8,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.28,1.808,704,,
63,25.2,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.28,1.808,704,,
64,25.6,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.28,1.808,705,,
65,26,,,,1.1,3.4,0.03,0.08,0,0,8.02,42,79,1.9,9.28,1.808,705,,
66,26.4,,,,1.2,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,704,,
67,26.8,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.29,1.81,705,,
68,27.2,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.29,1.81,705,,
69,27.6,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.3,1.811,704,,
70,28,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.3,1.811,703,,
71,28.4,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.3,1.811,704,,
72,28.8,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.29,1.81,703,,
73,29.2,,,,1.1,3.4,0.03,0.08,0,0,8.01,41,77,1.9,9.29,1.81,703,,
74,29.6,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,704,,
75,30,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.3,1.81,703,,
76,30.4,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,703,,
77,30.8,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,703,,
78,31.2,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,703,,
79,31.6,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.28,1.808,702,,
80,32,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.28,1.808,702,,
81,32.4,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,702,,
82,32.8,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,702,,
83,33.2,,,,1.1,3.4,0.03,0.08,0,0,8.02,41,77,1.9,9.29,1.809,701,,
