Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,0.7,3.4,0.02,0.08,0,0,5.67,10,26,2.6,12.39,2.533,369,35,1013
2,0.8,,,,0.7,3.4,0.02,0.08,0,0,5.67,11,29,2.6,12.39,2.533,369,,
3,1.2,,,,0.8,3.4,0.02,0.08,0,0,5.7,11,29,2.6,12.38,2.524,371,,
4,1.6,,,,0.7,3.4,0.02,0.08,0,0,6.39,12,28,2.3,12.28,2.348,371,,
5,2,,,,0.7,3.4,0.02,0.08,0,0,6.39,12,28,2.3,12.28,2.348,371,,
6,2.4,,,,0.7,3.4,0.02,0.08,0,0,6.61,12,27,2.3,11.92,2.265,371,,
7,2.8,,,,0.7,3.4,0.02,0.08,0,0,6.61,12,27,2.3,11.43,2.213,375,,
8,3.2,,,,0.7,3.4,0.02,0.08,0,0,6.56,13,30,2.3,11.2,2.198,383,,
9,3.6,,,,0.7,3.4,0.02,0.08,0,0,6.39,13,31,2.3,11.34,2.245,398,,
10,4,,,,0.7,3.4,0.02,0.08,0,0,6.39,13,31,2.3,11.34,2.245,398,,
11,4.4,,,,0.7,3.4,0.02,0.08,0,0,6.12,13,32,2.5,11.62,2.332,414,,
12,4.8,,,,0.7,3.4,0.02,0.08,0,0,6.1,14,34,2.5,11.87,2.365,429,,
13,5.2,,,,0.7,3.4,0.02,0.08,0,0,6.07,14,35,2.5,12.04,2.391,436,,
14,5.6,,,,0.7,3.4,0.02,0.08,0,0,5.98,14,35,2.5,12.14,2.424,436,,
15,6,,,,0.7,3.4,0.02,0.08,0,0,5.98,14,35,2.5,12.14,2.424,436,,
16,6.4,,,,0.7,3.4,0.02,0.08,0,0,5.97,14,35,2.5,12.19,2.432,433,,
17,6.8,,,,0.7,3.4,0.02,0.08,0,0,5.96,14,35,2.5,12.23,2.439,428,,
