Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.6,3.4,0.04,0.08,0.01,0.02,8.7,39,67,1.7,8.42,1.675,869,35,1013
2,0.8,,,,1.6,3.4,0.04,0.08,0.01,0.02,8.7,39,67,1.7,8.42,1.675,869,,
3,1.2,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.7,39,67,1.7,8.41,1.674,862,,
4,1.6,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.7,39,67,1.7,8.4,1.673,860,,
5,2,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.41,1.675,864,,
6,2.4,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.47,1.679,867,,
7,2.8,,,,1.6,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.47,1.679,867,,
8,3.2,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.54,1.685,868,,
9,3.6,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.55,1.686,859,,
10,4,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,39,67,1.7,8.51,1.683,851,,
11,4.4,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,38,66,1.7,8.44,1.677,843,,
12,4.8,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,38,66,1.7,8.44,1.677,843,,
13,5.2,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,38,66,1.7,8.38,1.672,831,,
14,5.6,,,,1.7,3.4,0.04,0.08,0.01,0.02,8.69,38,66,1.7,8.35,1.67,822,,
15,6,,,,1.8,3.4,0.04,0.08,0.01,0.02,8.69,38,66,1.7,8.33,1.668,816,,
16,6.4,,,,1.7,3.4,0.04,0.08,0,0,8.69,38,66,1.7,8.31,1.668,810,,
17,6.8,,,,1.7,3.4,0.04,0.08,0,0,8.69,38,66,1.7,8.31,1.668,810,,
18,7.2,,,,1.7,3.4,0.04,0.08,0,0,8.69,38,66,1.7,8.3,1.667,806,,
19,7.6,,,,1.7,3.4,0.04,0.08,0,0,8.69,38,66,1.7,8.29,1.666,803,,
20,8,,,,1.7,3.4,0.04,0.08,0,0,8.69,38,66,1.7,8.29,1.666,801,,
21,8.4,,,,1.7,3.4,0.04,0.08,0,0,8.7,38,66,1.7,8.28,1.665,800,,
22,8.8,,,,1.6,3.4,0.04,0.08,0,0,8.7,38,66,1.7,8.28,1.665,800,,
23,9.2,,,,1.7,3.4,0.04,0.08,0,0,8.7,38,66,1.7,8.28,1.665,798,,
24,9.6,,,,1.7,3.4,0.04,0.08,0,0,8.7,38,66,1.7,8.27,1.664,797,,
25,10,,,,1.7,3.4,0.04,0.08,0,0,8.71,38,65,1.7,8.26,1.662,795,,
26,10.4,,,,1.7,3.4,0.04,0.08,0,0,8.71,38,65,1.7,8.25,1.662,795,,
27,10.8,,,,1.7,3.4,0.04,0.08,0,0,8.71,38,65,1.7,8.25,1.662,795,,
28,11.2,,,,1.8,3.4,0.04,0.08,0,0,8.71,38,65,1.7,8.25,1.662,794,,
29,11.6,,,,1.8,3.4,0.04,0.08,0,0,8.71,38,65,1.7,8.26,1.662,795,,
30,12,,,,1.8,3.4,0.04,0.08,0,0,8.73,38,65,1.7,8.26,1.661,794,,
31,12.4,,,,1.8,3.4,0.04,0.08,0,0,8.73,38,65,1.7,8.26,1.661,794,,
32,12.8,,,,1.8,3.4,0.04,0.08,0,0,8.74,38,65,1.7,8.25,1.659,793,,
33,13.2,,,,1.8,3.4,0.04,0.08,0,0,8.78,38,65,1.7,8.24,1.655,791,,
34,13.6,,,,1.8,3.4,0.04,0.08,0,0,8.79,38,65,1.7,8.24,1.655,791,,
35,14,,,,1.8,3.4,0.04,0.08,0,0,8.8,38,65,1.7,8.23,1.653,790,,
36,14.4,,,,1.8,3.4,0.04,0.08,0,0,8.8,38,65,1.7,8.23,1.653,790,,
37,14.8,,,,1.7,3.4,0.04,0.08,0,0,8.8,38,65,1.7,8.22,1.652,790,,
38,15.2,,,,1.7,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,791,,
39,15.6,,,,1.7,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,790,,
40,16,,,,1.6,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,791,,
41,16.4,,,,1.7,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,791,,
42,16.8,,,,1.7,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,793,,
43,17.2,,,,1.7,3.4,0.04,0.08,0,0,8.81,38,65,1.7,8.22,1.652,792,,
44,17.6,,,,1.7,3.4,0.04,0.08,0,0,8.81,37,63,1.7,8.21,1.651,792,,
45,18,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.21,1.65,791,,
46,18.4,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.21,1.65,791,,
47,18.8,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.2,1.649,792,,
48,19.2,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.2,1.649,791,,
49,19.6,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.21,1.65,792,,
50,20,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.22,1.651,791,,
51,20.4,,,,1.8,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.22,1.651,791,,
52,20.8,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.24,1.653,792,,
53,21.2,,,,1.8,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.24,1.653,791,,
54,21.6,,,,1.7,3.4,0.04,0.08,0,0,8.82,37,63,1.7,8.25,1.653,792,,
