Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.01,25,42,1.7,7.89,1.612,786,36,1014
2,0.8,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.88,1.61,791,,
3,1.2,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.88,1.61,793,,
4,1.6,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.88,1.61,793,,
5,2,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.88,1.61,799,,
6,2.4,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.89,1.611,799,,
7,2.8,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.9,1.612,800,,
8,3.2,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.9,1.612,801,,
9,3.6,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.02,25,42,1.7,7.9,1.612,801,,
10,4,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.03,25,41,1.7,7.91,1.612,801,,
11,4.4,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.03,25,41,1.7,7.91,1.612,801,,
12,4.8,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.03,25,41,1.7,7.91,1.612,800,,
13,5.2,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.06,25,41,1.7,7.92,1.611,800,,
14,5.6,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.06,25,41,1.7,7.92,1.611,800,,
15,6,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.06,25,41,1.7,7.92,1.611,802,,
16,6.4,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.07,25,41,1.7,7.93,1.611,803,,
17,6.8,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.07,25,41,1.7,7.93,1.611,802,,
18,7.2,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.07,25,41,1.7,7.92,1.61,802,,
19,7.6,,,,0.8,1.3,0.02,0.03,0.01,0.02,9.07,25,41,1.7,7.92,1.61,802,,
20,8,,,,0.8,1.3,0.02,0.03,0.01,0.02,9.08,25,41,1.7,7.92,1.609,804,,
21,8.4,,,,0.7,1.3,0.02,0.03,0.01,0.02,9.09,25,41,1.6,7.91,1.608,805,,
22,8.8,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.9,1.607,804,,
23,9.2,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.89,1.606,805,,
24,9.6,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.89,1.606,805,,
25,10,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.89,1.606,806,,
26,10.4,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.88,1.606,805,,
27,10.8,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.88,1.606,807,,
28,11.2,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.88,1.606,809,,
29,11.6,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.88,1.606,809,,
30,12,,,,0.5,1.3,0.01,0.03,0.01,0.02,9.09,25,41,1.6,7.87,1.605,807,,
31,12.4,,,,0.4,1.3,0.01,0.03,0.01,0.02,9.1,25,41,1.6,7.87,1.604,810,,
32,12.8,,,,0.6,1.3,0.01,0.03,0.01,0.02,9.1,25,41,1.6,7.87,1.604,813,,
33,13.2,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.1,25,41,1.6,7.88,1.604,812,,
34,13.6,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.1,25,41,1.6,7.88,1.604,812,,
35,14,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.1,25,41,1.6,7.88,1.604,810,,
36,14.4,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.1,25,41,1.6,7.88,1.604,815,,
37,14.8,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.1,25,41,1.6,7.89,1.605,815,,
38,15.2,,,,0.9,1.3,0.02,0.03,0.02,0.03,9.1,25,41,1.6,7.89,1.605,815,,
39,15.6,,,,0.8,1.3,0.02,0.03,0.02,0.03,9.11,25,41,1.6,7.89,1.604,821,,
40,16,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.89,1.603,822,,
41,16.4,,,,0.4,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.89,1.603,819,,
42,16.8,,,,0.4,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.88,1.602,818,,
43,17.2,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.88,1.602,818,,
44,17.6,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.88,1.602,819,,
45,18,,,,0.1,1.3,0,0.03,0.02,0.03,9.12,25,41,1.6,7.88,1.602,819,,
46,18.4,,,,0.1,1.3,0,0.03,0.02,0.03,9.12,25,41,1.6,7.87,1.602,820,,
47,18.8,,,,0.1,1.3,0,0.03,0.02,0.03,9.12,25,41,1.6,7.86,1.601,820,,
48,19.2,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.12,25,41,1.6,7.86,1.601,820,,
49,19.6,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.85,1.6,821,,
50,20,,,,0.4,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.84,1.599,820,,
51,20.4,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.83,1.598,821,,
52,20.8,,,,0.8,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.83,1.598,822,,
53,21.2,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.83,1.598,822,,
54,21.6,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.83,1.598,821,,
55,22,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.82,1.597,820,,
56,22.4,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.13,24,39,1.6,7.82,1.597,824,,
57,22.8,,,,0.8,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.81,1.597,823,,
58,23.2,,,,1,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.81,1.597,823,,
59,23.6,,,,1,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.81,1.597,823,,
60,24,,,,1,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.8,1.596,824,,
61,24.4,,,,0.8,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.8,1.596,824,,
62,24.8,,,,0.9,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.79,1.595,825,,
63,25.2,,,,0.9,1.3,0.02,0.03,0.02,0.03,9.13,24,39,1.6,7.79,1.595,825,,
64,25.6,,,,0.7,1.3,0.02,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,827,,
65,26,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,828,,
66,26.4,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,828,,
67,26.8,,,,0.6,1.3,0.01,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,830,,
68,27.2,,,,0.9,1.3,0.02,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,830,,
69,27.6,,,,0.7,1.3,0.02,0.03,0.02,0.03,9.14,24,39,1.6,7.79,1.594,829,,
70,28,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.81,1.595,828,,
71,28.4,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.83,1.597,830,,
72,28.8,,,,0.2,1.3,0,0.03,0.02,0.03,9.15,24,39,1.6,7.86,1.599,828,,
73,29.2,,,,0.2,1.3,0,0.03,0.02,0.03,9.15,24,39,1.6,7.86,1.599,828,,
74,29.6,,,,0.3,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.86,1.599,824,,
75,30,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.85,1.598,823,,
76,30.4,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.83,1.597,820,,
77,30.8,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.15,24,39,1.6,7.81,1.595,819,,
78,31.2,,,,0.7,1.3,0.02,0.03,0.02,0.03,9.15,24,39,1.6,7.81,1.595,819,,
79,31.6,,,,0.7,1.3,0.02,0.03,0.02,0.03,9.16,24,39,1.6,7.79,1.593,819,,
80,32,,,,0.5,1.3,0.01,0.03,0.02,0.03,9.16,24,39,1.6,7.77,1.592,820,,
81,32.4,,,,0.8,1.3,0.02,0.03,0.02,0.03,9.16,24,39,1.6,7.77,1.592,823,,
82,32.8,,,,1,1.3,0.02,0.03,0.02,0.03,9.16,24,39,1.6,7.77,1.592,823,,
