Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,0,0.1,0,0,0,0,7.38,37,75,2,10.14,1.96,581,36,1014
2,0.8,,,,0,0.1,0,0,0,0,7.38,37,75,2,10.14,1.96,581,,
3,1.2,,,,0,0.1,0,0,0,0,7.4,37,75,2,10.08,1.952,586,,
4,1.6,,,,0,0.1,0,0,0,0,7.41,37,75,2,10.02,1.945,590,,
5,2,,,,0,0.1,0,0,0,0,7.42,37,75,2,9.97,1.939,594,,
6,2.4,,,,0,0.1,0,0,0,0,7.52,37,74,2,9.92,1.922,600,,
7,2.8,,,,0,0.1,0,0,0,0,7.52,37,74,2,9.92,1.922,600,,
8,3.2,,,,0,0.1,0,0,0,0,7.53,38,76,2,9.9,1.918,607,,
9,3.6,,,,0,0.1,0,0,0,0,7.53,38,76,2,9.89,1.918,613,,
10,4,,,,0,0.1,0,0,0,0,7.53,38,76,2,9.9,1.918,620,,
11,4.4,,,,0,0.1,0,0,0,0,7.53,38,76,2,9.92,1.92,624,,
12,4.8,,,,0,0.1,0,0,0,0,7.53,38,76,2,9.92,1.92,624,,
13,5.2,,,,0,0.1,0,0,0,0,7.54,38,76,2,9.92,1.919,626,,
14,5.6,,,,0,0.1,0,0,0,0,7.55,38,75,2,9.91,1.917,627,,
15,6,,,,0,0.1,0,0,0,0,7.55,38,75,2,9.87,1.913,627,,
16,6.4,,,,0,0.1,0,0,0,0,7.59,38,75,2,9.84,1.906,626,,
17,6.8,,,,0,0.1,0,0,0,0,7.59,38,75,2,9.84,1.906,626,,
18,7.2,,,,0,0.1,0,0,0,0,7.6,38,75,2,9.81,1.902,629,,
19,7.6,,,,0,0.1,0,0,0,0,7.6,38,75,2,9.78,1.899,630,,
20,8,,,,0,0.1,0,0,0,0,7.61,38,75,2,9.76,1.896,632,,
21,8.4,,,,0,0.1,0,0,0,0,7.61,38,75,2,9.75,1.895,633,,
22,8.8,,,,0,0.1,0,0,0,0,7.61,38,75,2,9.75,1.895,633,,
23,9.2,,,,0,0.1,0,0,0,0,7.62,38,75,2,9.74,1.893,637,,
24,9.6,,,,0,0.1,0,0,0,0,7.62,38,75,2,9.74,1.893,639,,
25,10,,,,0,0.1,0,0,0,0,7.63,38,75,2,9.75,1.893,639,,
26,10.4,,,,0,0.1,0,0,0,0,7.63,38,75,2,9.75,1.893,639,,
27,10.8,,,,0,0.1,0,0,0,0,7.64,38,75,2,9.75,1.891,639,,
28,11.2,,,,0,0.1,0,0,0.01,0.02,7.64,38,75,2,9.76,1.891,642,,
29,11.6,,,,0,0.1,0,0,0.01,0.02,7.64,38,75,2,9.76,1.891,642,,
30,12,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.76,1.89,649,,
31,12.4,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.77,1.89,648,,
32,12.8,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.77,1.89,648,,
33,13.2,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.77,1.89,646,,
34,13.6,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.76,1.89,644,,
35,14,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.77,1.89,646,,
36,14.4,,,,0,0.1,0,0,0.01,0.02,7.65,38,74,2,9.77,1.89,646,,
37,14.8,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.77,1.889,647,,
38,15.2,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,645,,
39,15.6,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,645,,
40,16,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,645,,
41,16.4,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,645,,
42,16.8,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,644,,
43,17.2,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,646,,
44,17.6,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.78,1.89,645,,
45,18,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.8,1.892,646,,
46,18.4,,,,0,0.1,0,0,0.01,0.02,7.66,38,74,2,9.8,1.892,646,,
47,18.8,,,,0,0.1,0,0,0.01,0.02,7.67,38,74,2,9.8,1.891,647,,
48,19.2,,,,0,0.1,0,0,0.01,0.02,7.67,38,74,2,9.79,1.89,647,,
49,19.6,,,,0,0.1,0,0,0.01,0.02,7.68,38,74,2,9.78,1.888,648,,
50,20,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.77,1.886,650,,
51,20.4,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.77,1.886,650,,
52,20.8,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.76,1.885,652,,
53,21.2,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.75,1.884,652,,
54,21.6,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.75,1.884,652,,
55,22,,,,0,0.1,0,0,0.01,0.02,7.7,38,74,1.9,9.75,1.883,653,,
56,22.4,,,,0,0.1,0,0,0.01,0.02,7.7,38,74,1.9,9.75,1.883,653,,
57,22.8,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.76,1.885,653,,
58,23.2,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.78,1.887,653,,
59,23.6,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.79,1.888,652,,
60,24,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.8,1.889,654,,
61,24.4,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.8,1.889,654,,
62,24.8,,,,0,0.1,0,0,0.01,0.02,7.69,38,74,1.9,9.8,1.889,655,,
63,25.2,,,,0,0.1,0,0,0.01,0.02,7.7,38,74,1.9,9.8,1.887,655,,
64,25.6,,,,0,0.1,0,0,0.01,0.02,7.7,38,74,1.9,9.8,1.887,657,,
65,26,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.8,1.888,657,,
66,26.4,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.8,1.888,657,,
67,26.8,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,657,,
68,27.2,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,656,,
69,27.6,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,656,,
70,28,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,655,,
71,28.4,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,655,,
72,28.8,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,655,,
73,29.2,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.81,1.888,656,,
74,29.6,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.8,1.888,656,,
75,30,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.8,1.888,656,,
76,30.4,,,,0,0.1,0,0,0.01,0.02,7.7,37,72,1.9,9.8,1.888,658,,
