Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,3.8,16,0.09,0.41,0,0,6.3,0,0,2.4,11.31,2.262,518,32,1006
2,0.8,,,,3.7,16,0.09,0.41,0,0,6.3,0,0,2.4,11.31,2.262,518,,
3,1.2,,,,3.9,16,0.09,0.41,0,0,6.3,0,0,2.4,11.27,2.258,521,,
4,1.6,,,,4,16,0.09,0.41,0,0,6.3,0,0,2.4,11.24,2.254,526,,
5,2,,,,4,16,0.09,0.41,0,0,6.31,0,0,2.4,11.22,2.25,530,,
6,2.4,,,,4,16,0.09,0.41,0,0,6.31,0,0,2.4,11.22,2.25,530,,
7,2.8,,,,3.8,16,0.09,0.41,0,0,6.31,0,0,2.4,11.21,2.249,534,,
8,3.2,,,,3.9,16,0.09,0.41,0,0,6.33,1,2,2.4,11.2,2.244,537,,
9,3.6,,,,3.9,16,0.09,0.41,0,0,6.34,1,2,2.4,11.18,2.239,541,,
10,4,,,,3.9,16,0.09,0.41,0,0,6.36,1,2,2.4,11.17,2.234,543,,
11,4.4,,,,3.9,16,0.09,0.41,0,0,6.37,1,2,2.4,11.17,2.233,546,,
12,4.8,,,,3.8,16,0.09,0.41,0,0,6.37,1,2,2.4,11.17,2.233,546,,
13,5.2,,,,3.9,16,0.09,0.41,0,0,6.37,1,2,2.4,11.18,2.234,548,,
14,5.6,,,,3.7,16,0.09,0.41,0,0,6.37,1,2,2.4,11.2,2.236,550,,
15,6,,,,3.8,16,0.09,0.41,0,0,6.37,1,2,2.4,11.21,2.237,550,,
16,6.4,,,,3.7,16,0.09,0.41,0,0,6.37,1,2,2.4,11.21,2.237,550,,
17,6.8,,,,3.6,16,0.09,0.41,0,0,6.39,1,2,2.3,11.19,2.231,552,,
18,7.2,,,,3.7,16,0.09,0.41,0,0,6.4,1,2,2.3,11.17,2.227,552,,
19,7.6,,,,3.7,16,0.09,0.41,0,0,6.4,1,2,2.3,11.16,2.226,552,,
20,8,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.15,2.223,552,,
21,8.4,,,,3.7,16,0.09,0.41,0,0,6.41,1,2,2.3,11.15,2.223,552,,
22,8.8,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.16,2.224,555,,
23,9.2,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.18,2.226,555,,
24,9.6,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.21,2.229,557,,
25,10,,,,4,16,0.09,0.41,0,0,6.41,1,2,2.3,11.24,2.232,558,,
26,10.4,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.24,2.232,558,,
27,10.8,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.26,2.235,558,,
28,11.2,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.25,2.234,555,,
29,11.6,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.23,2.231,554,,
30,12,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
31,12.4,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
32,12.8,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,552,,
33,13.2,,,,3.8,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
34,13.6,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
35,14,,,,3.9,16,0.09,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
36,14.4,,,,4.1,16,0.1,0.41,0,0,6.41,1,2,2.3,11.22,2.23,553,,
37,14.8,,,,4.3,16,0.1,0.41,0,0,6.41,1,2,2.3,11.23,2.231,554,,
38,15.2,,,,4.2,16,0.1,0.41,0,0,6.4,1,2,2.3,11.24,2.234,556,,
39,15.6,,,,4.1,16,0.1,0.41,0,0,6.4,1,2,2.3,11.25,2.236,555,,
40,16,,,,4,16,0.09,0.41,0,0,6.4,2,5,2.3,11.26,2.236,555,,
41,16.4,,,,3.9,16,0.09,0.41,0,0,6.4,2,5,2.3,11.26,2.236,555,,
42,16.8,,,,3.9,16,0.09,0.41,0,0,6.4,2,5,2.3,11.26,2.236,554,,
43,17.2,,,,4,16,0.09,0.41,0,0,6.4,2,5,2.3,11.27,2.237,554,,
44,17.6,,,,4.2,16,0.1,0.41,0,0,6.39,2,5,2.3,11.28,2.241,553,,
45,18,,,,4.1,16,0.1,0.41,0,0,6.38,2,5,2.4,11.29,2.244,551,,
46,18.4,,,,4.2,16,0.1,0.41,0,0,6.38,2,5,2.4,11.29,2.244,551,,
47,18.8,,,,4.4,16,0.1,0.41,0,0,6.38,2,5,2.4,11.29,2.244,551,,
48,19.2,,,,4.5,16,0.11,0.41,0,0,6.38,2,5,2.4,11.26,2.24,550,,
49,19.6,,,,4.4,16,0.1,0.41,0,0,6.38,2,5,2.4,11.23,2.237,548,,
50,20,,,,4.3,16,0.1,0.41,0,0,6.38,2,5,2.4,11.2,2.234,547,,
51,20.4,,,,4.2,16,0.1,0.41,0,0,6.38,2,5,2.4,11.2,2.234,547,,
52,20.8,,,,4.1,16,0.1,0.41,0,0,6.38,2,5,2.4,11.16,2.229,549,,
53,21.2,,,,4,16,0.09,0.41,0,0,6.38,2,5,2.4,11.14,2.227,550,,
54,21.6,,,,4,16,0.09,0.41,0,0,6.38,2,5,2.4,11.12,2.225,553,,
55,22,,,,4,16,0.09,0.41,0,0,6.38,2,5,2.4,11.12,2.225,553,,
56,22.4,,,,4.1,16,0.1,0.41,0,0,6.39,2,5,2.3,11.11,2.222,554,,
57,22.8,,,,4.2,16,0.1,0.41,0,0,6.39,2,5,2.3,11.1,2.221,556,,
58,23.2,,,,4.2,16,0.1,0.41,0,0,6.39,2,5,2.3,11.09,2.22,559,,
59,23.6,,,,4.2,16,0.1,0.41,0,0,6.39,2,5,2.3,11.08,2.219,560,,
60,24,,,,4.1,16,0.1,0.41,0,0,6.39,2,5,2.3,11.07,2.217,562,,
61,24.4,,,,4.1,16,0.1,0.41,0,0,6.39,2,5,2.3,11.07,2.217,562,,
62,24.8,,,,4.1,16,0.1,0.41,0,0,6.4,3,7,2.3,11.07,2.215,563,,
63,25.2,,,,4.1,16,0.1,0.41,0,0,6.4,3,7,2.3,11.07,2.215,564,,
64,25.6,,,,4.2,16,0.1,0.41,0,0,6.41,3,7,2.3,11.07,2.213,567,,
65,26,,,,4.2,16,0.1,0.41,0,0,6.41,3,7,2.3,11.07,2.213,567,,
66,26.4,,,,4.1,16,0.1,0.41,0,0,6.41,3,7,2.3,11.07,2.213,567,,
67,26.8,,,,4,16,0.09,0.41,0,0,6.42,3,7,2.3,11.07,2.212,567,,
68,27.2,,,,4.2,16,0.1,0.41,0,0,6.42,3,7,2.3,11.06,2.21,568,,
69,27.6,,,,4.2,16,0.1,0.41,0,0,6.43,3,7,2.3,11.06,2.209,570,,
70,28,,,,4.2,16,0.1,0.41,0,0,6.43,3,7,2.3,11.06,2.209,570,,
