Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,3.6,16,0.09,0.41,0,0,5.47,0,0,2.7,12.37,2.59,431,32,1010
2,0.8,,,,3.6,16,0.09,0.41,0,0,5.47,0,0,2.7,12.37,2.59,431,,
3,1.2,,,,3.8,16,0.09,0.41,0,0,5.47,0,0,2.7,12.37,2.59,431,,
4,1.6,,,,3.7,16,0.09,0.41,0,0,5.47,0,0,2.7,12.38,2.591,434,,
5,2,,,,3.5,16,0.08,0.41,0,0,5.47,0,0,2.7,12.39,2.592,436,,
6,2.4,,,,3.3,16,0.08,0.41,0,0,5.47,0,0,2.7,12.4,2.594,439,,
7,2.8,,,,3.3,16,0.08,0.41,0,0,5.47,0,0,2.7,12.4,2.594,439,,
8,3.2,,,,3.4,16,0.08,0.41,0,0,5.47,0,0,2.7,12.41,2.595,437,,
9,3.6,,,,3.5,16,0.08,0.41,0,0,5.47,0,0,2.7,12.43,2.597,443,,
10,4,,,,3.5,16,0.08,0.41,0,0,5.47,0,0,2.7,12.44,2.599,440,,
11,4.4,,,,3.7,16,0.09,0.41,0,0,5.47,0,0,2.7,12.44,2.599,439,,
12,4.8,,,,3.6,16,0.09,0.41,0,0,5.47,0,0,2.7,12.44,2.599,439,,
13,5.2,,,,3.6,16,0.09,0.41,0,0,5.48,0,0,2.7,12.45,2.597,440,,
14,5.6,,,,3.6,16,0.09,0.41,0,0,5.49,0,0,2.7,12.44,2.593,438,,
15,6,,,,3.6,16,0.09,0.41,0,0,5.5,0,0,2.7,12.43,2.589,436,,
16,6.4,,,,3.6,16,0.09,0.41,0,0,5.5,0,0,2.7,12.41,2.586,434,,
17,6.8,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.41,2.586,434,,
18,7.2,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.39,2.581,435,,
19,7.6,,,,3.6,16,0.09,0.41,0,0,5.51,0,0,2.7,12.39,2.581,436,,
20,8,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.39,2.581,435,,
21,8.4,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.4,2.582,436,,
22,8.8,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.4,2.582,436,,
23,9.2,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.41,2.586,438,,
24,9.6,,,,3.8,16,0.09,0.41,0,0,5.5,0,0,2.7,12.41,2.586,441,,
25,10,,,,3.8,16,0.09,0.41,0,0,5.5,0,0,2.7,12.42,2.587,443,,
26,10.4,,,,3.8,16,0.09,0.41,0,0,5.5,0,0,2.7,12.42,2.587,442,,
27,10.8,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.42,2.587,442,,
28,11.2,,,,3.6,16,0.09,0.41,0,0,5.5,0,0,2.7,12.43,2.589,440,,
29,11.6,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.44,2.59,440,,
30,12,,,,3.5,16,0.08,0.41,0,0,5.5,0,0,2.7,12.46,2.593,441,,
31,12.4,,,,3.5,16,0.08,0.41,0,0,5.5,0,0,2.7,12.47,2.594,439,,
32,12.8,,,,3.5,16,0.08,0.41,0,0,5.5,0,0,2.7,12.47,2.594,439,,
33,13.2,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.47,2.594,440,,
34,13.6,,,,3.7,16,0.09,0.41,0,0,5.5,0,0,2.7,12.45,2.591,439,,
35,14,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.42,2.585,436,,
36,14.4,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.39,2.581,436,,
37,14.8,,,,3.7,16,0.09,0.41,0,0,5.51,0,0,2.7,12.39,2.581,436,,
38,15.2,,,,3.8,16,0.09,0.41,0,0,5.52,0,0,2.7,12.37,2.575,438,,
39,15.6,,,,3.7,16,0.09,0.41,0,0,5.53,0,0,2.7,12.36,2.571,435,,
40,16,,,,3.8,16,0.09,0.41,0,0,5.53,0,0,2.7,12.35,2.57,436,,
41,16.4,,,,3.7,16,0.09,0.41,0,0,5.53,0,0,2.7,12.35,2.57,439,,
42,16.8,,,,3.7,16,0.09,0.41,0,0,5.53,0,0,2.7,12.35,2.57,439,,
43,17.2,,,,3.7,16,0.09,0.41,0,0,5.53,0,0,2.7,12.35,2.57,441,,
44,17.6,,,,3.7,16,0.09,0.41,0,0,5.53,0,0,2.7,12.35,2.57,441,,
45,18,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.35,2.567,442,,
46,18.4,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.35,2.567,442,,
47,18.8,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.35,2.567,445,,
48,19.2,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.34,2.566,447,,
49,19.6,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.34,2.566,447,,
50,20,,,,3.7,16,0.09,0.41,0,0,5.54,0,0,2.7,12.34,2.566,447,,
51,20.4,,,,3.8,16,0.09,0.41,0,0,5.54,0,0,2.7,12.34,2.566,447,,
52,20.8,,,,3.8,16,0.09,0.41,0,0,5.55,0,0,2.7,12.34,2.563,449,,
53,21.2,,,,3.8,16,0.09,0.41,0,0,5.55,0,0,2.7,12.34,2.563,451,,
54,21.6,,,,3.8,16,0.09,0.41,0,0,5.55,0,0,2.7,12.34,2.563,449,,
55,22,,,,3.8,16,0.09,0.41,0,0,5.55,0,0,2.7,12.35,2.564,449,,
56,22.4,,,,3.6,16,0.09,0.41,0,0,5.55,0,0,2.7,12.4,2.571,450,,
57,22.8,,,,3.7,16,0.09,0.41,0,0,5.55,0,0,2.7,12.35,2.564,450,,
58,23.2,,,,3.7,16,0.09,0.41,0,0,5.55,0,0,2.7,12.35,2.564,450,,
59,23.6,,,,3.7,16,0.09,0.41,0,0,5.55,0,0,2.7,12.35,2.564,450,,
60,24,,,,3.6,16,0.09,0.41,0,0,5.55,0,0,2.7,12.34,2.563,451,,
