Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.7,0,0,1.9,9.39,1.856,725,32,1010
2,0.8,,,,6,6.6,0.14,0.16,0.01,0.02,7.7,0,0,1.9,9.39,1.856,729,,
3,1.2,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,729,,
4,1.6,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,730,,
5,2,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,731,,
6,2.4,,,,6,6.6,0.14,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,733,,
7,2.8,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,733,,
8,3.2,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,735,,
9,3.6,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,733,,
10,4,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,736,,
11,4.4,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,736,,
12,4.8,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,739,,
13,5.2,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.7,0,0,1.9,9.38,1.855,737,,
14,5.6,,,,6.3,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.38,1.854,739,,
15,6,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.38,1.854,740,,
16,6.4,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.38,1.854,740,,
17,6.8,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.37,1.853,740,,
18,7.2,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.37,1.853,739,,
19,7.6,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.71,0,0,1.9,9.36,1.852,742,,
20,8,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.72,0,0,1.9,9.36,1.851,741,,
21,8.4,,,,5.4,6.6,0.13,0.16,0.01,0.02,7.72,0,0,1.9,9.36,1.851,741,,
22,8.8,,,,5.4,6.6,0.13,0.16,0.01,0.02,7.72,0,0,1.9,9.35,1.85,743,,
23,9.2,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.72,0,0,1.9,9.34,1.849,743,,
24,9.6,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.72,0,0,1.9,9.34,1.849,744,,
25,10,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.72,0,0,1.9,9.33,1.848,744,,
26,10.4,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.72,0,0,1.9,9.33,1.848,744,,
27,10.8,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.73,0,0,1.9,9.32,1.846,744,,
28,11.2,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.73,0,0,1.9,9.32,1.846,744,,
29,11.6,,,,5.7,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.31,1.844,746,,
30,12,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.3,1.843,746,,
31,12.4,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.3,1.843,746,,
32,12.8,,,,6,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.3,1.843,746,,
33,13.2,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.31,1.844,748,,
34,13.6,,,,6,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.33,1.846,746,,
35,14,,,,6,6.6,0.14,0.16,0.01,0.02,7.74,0,0,1.9,9.34,1.847,747,,
36,14.4,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.74,0,0,1.9,9.34,1.847,747,,
37,14.8,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.36,1.847,746,,
38,15.2,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.37,1.848,748,,
39,15.6,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.37,1.848,746,,
40,16,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.38,1.849,748,,
41,16.4,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.38,1.849,748,,
42,16.8,,,,6.2,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.37,1.848,748,,
43,17.2,,,,6.1,6.6,0.15,0.16,0.01,0.02,7.75,0,0,1.9,9.37,1.848,748,,
44,17.6,,,,6,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.37,1.847,747,,
45,18,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.36,1.846,748,,
46,18.4,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.36,1.846,748,,
47,18.8,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.36,1.846,748,,
48,19.2,,,,5.5,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.37,1.847,748,,
49,19.6,,,,5.7,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.4,1.85,748,,
50,20,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.42,1.852,747,,
51,20.4,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.42,1.852,747,,
52,20.8,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.44,1.854,747,,
53,21.2,,,,5.9,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.45,1.854,744,,
54,21.6,,,,5.8,6.6,0.14,0.16,0.01,0.02,7.76,0,0,1.9,9.46,1.855,741,,
55,22,,,,5.4,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.46,1.855,739,,
56,22.4,,,,5.6,6.6,0.13,0.16,0.01,0.02,7.76,0,0,1.9,9.46,1.855,739,,
