Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.9,2,0.04,0.05,0,,0,0,,,21.05,,0,32,1012
2,0.8,,,,1.8,2,0.04,0.05,0,,0,0,,,21.05,,0,,
3,1.2,,,,1.9,2,0.04,0.05,0,,0,0,,,21.05,,0,,
4,1.6,,,,1.9,2,0.04,0.05,0,,0,0,,,21.05,,0,,
5,2,,,,1.8,2,0.04,0.05,0,,0,0,,,21.05,,0,,
6,2.4,,,,1.9,2,0.04,0.05,0,,0,0,,,21.05,,0,,
7,2.8,,,,2.7,2.7,0.06,0.06,0,,0,0,,,21.05,,0,,
8,3.2,,,,3.1,3.1,0.07,0.07,0,,0,0,,,21.05,,0,,
9,3.6,,,,3.3,3.3,0.08,0.08,0,,0,0,,,21.05,,0,,
10,4,,,,3.2,3.4,0.08,0.08,0,,0,0,,,21.05,,0,,
11,4.4,,,,3.3,3.4,0.08,0.08,0,,0,0,,,21.05,,0,,
12,4.8,,,,3.3,3.4,0.08,0.08,0,,0,0,,,21.05,,0,,
13,5.2,,,,3.6,3.6,0.09,0.09,0,,0,0,,,21.05,,0,,
14,5.6,,,,3.6,3.8,0.09,0.09,0,,0,0,,,21.05,,0,,
15,6,,,,3.6,3.8,0.09,0.09,0,,0,0,,,21.05,,0,,
16,6.4,,,,3.5,3.8,0.08,0.09,0,,0,0,,,21.05,,0,,
17,6.8,,,,3.4,3.8,0.08,0.09,0,,0,0,,,21.05,,0,,
18,7.2,,,,3.1,3.8,0.07,0.09,0,,0,0,,,21.05,,0,,
19,7.6,,,,3,3.8,0.07,0.09,0,,0,0,,,21.05,,0,,
20,8,,,,2.9,3.8,0.07,0.09,0,,0,0,,,21.05,,0,,
21,8.4,,,,3.1,3.8,0.07,0.09,0,,0,0,,,21.05,,0,,
22,8.8,,,,3.3,3.8,0.08,0.09,0,,0,0,,,21.05,,0,,
23,9.2,,,,3.2,3.8,0.08,0.09,0,,0,0,,,21.05,,0,,
24,9.6,,,,3.3,3.8,0.08,0.09,0,,0,0,,,21.05,,0,,
25,10,,,,3.9,3.9,0.09,0.09,0,,0,0,,,21.05,,0,,
26,10.4,,,,4.3,4.3,0.1,0.1,0,,0,0,,,21.05,,0,,
27,10.8,,,,4.1,4.3,0.1,0.1,0,,0,0,,,21.05,,0,,
28,11.2,,,,4.1,4.3,0.1,0.1,0,,0,0,,,21.05,,0,,
29,11.6,,,,4,4.3,0.09,0.1,0,,0,0,,,21.05,,0,,
30,12,,,,3.7,4.3,0.09,0.1,0,,0,0,,,21.05,,0,,
31,12.4,,,,3.6,4.3,0.09,0.1,0,0,0.16,0,0,93.8,21.04,,0,,
32,12.8,,,,3.3,4.3,0.08,0.1,0,0,1.2,0,0,12.5,20.88,,0,,
33,13.2,,,,3,4.3,0.07,0.1,0,0,2.52,0,0,6,20.2,6.635,0,,
34,13.6,,,,3.3,4.3,0.08,0.1,0,0,2.52,0,0,6,20.2,6.635,0,,
35,14,,,,3.4,4.3,0.08,0.1,0,0,3.69,0,0,4.1,18.81,4.584,3,,
36,14.4,,,,3.5,4.3,0.08,0.1,0,0,4.59,0,0,3.3,17.22,3.637,13,,
37,14.8,,,,3.2,4.3,0.08,0.1,0,0,4.96,0,0,3,15.74,3.231,35,,
38,15.2,,,,3.1,4.3,0.07,0.1,0,0,5.12,0,0,2.9,14.64,3.01,69,,
39,15.6,,,,3.3,4.3,0.08,0.1,0,0,5.12,0,0,2.9,14.64,3.01,69,,
40,16,,,,3.2,4.3,0.08,0.1,0,0,5.39,0,0,2.8,13.94,2.818,112,,
41,16.4,,,,3.2,4.3,0.08,0.1,0,0,5.43,0,0,2.8,13.52,2.75,160,,
42,16.8,,,,3.1,4.3,0.07,0.1,0,0,5.47,0,0,2.7,13.26,2.704,209,,
43,17.2,,,,3,4.3,0.07,0.1,0,0,5.5,0,0,2.7,13.15,2.681,255,,
44,17.6,,,,3.1,4.3,0.07,0.1,0,0,5.5,0,0,2.7,13.1,2.674,255,,
45,18,,,,3.3,4.3,0.08,0.1,0,0,5.53,0,0,2.7,12.97,2.649,290,,
46,18.4,,,,3.4,4.3,0.08,0.1,0,0,5.58,0,0,2.7,12.86,2.62,324,,
47,18.8,,,,3.3,4.3,0.08,0.1,0,0,5.8,0,0,2.6,12.75,2.545,348,,
48,19.2,,,,3.1,4.3,0.07,0.1,0,0,5.85,0,0,2.6,12.64,2.519,372,,
49,19.6,,,,3,4.3,0.07,0.1,0,0,5.85,0,0,2.6,12.64,2.519,372,,
50,20,,,,3.3,4.3,0.08,0.1,0,0,5.86,0,0,2.6,12.54,2.504,387,,
51,20.4,,,,3.3,4.3,0.08,0.1,0,0,5.9,0,0,2.5,12.46,2.485,402,,
52,20.8,,,,3.2,4.3,0.08,0.1,0,0,5.93,0,0,2.5,12.4,2.47,417,,
53,21.2,,,,3.2,4.3,0.08,0.1,0,0,5.93,0,0,2.5,12.4,2.47,417,,
54,21.6,,,,3.5,4.3,0.08,0.1,0,0,5.99,0,0,2.5,12.35,2.449,429,,
55,22,,,,4,4.3,0.09,0.1,0,0,6,0,0,2.5,12.31,2.442,437,,
56,22.4,,,,4,4.3,0.09,0.1,0,0,6.01,0,0,2.5,12.27,2.435,444,,
57,22.8,,,,3.7,4.3,0.09,0.1,0,0,6.03,0,0,2.5,12.22,2.425,454,,
58,23.2,,,,3.5,4.3,0.08,0.1,0,0,6.03,0,0,2.5,12.22,2.425,454,,
59,23.6,,,,3.2,4.3,0.08,0.1,0,0,6.04,0,0,2.5,12.18,2.418,457,,
60,24,,,,3,4.3,0.07,0.1,0,0,6.07,0,0,2.5,12.15,2.407,463,,
61,24.4,,,,2.9,4.3,0.07,0.1,0,0,6.08,0,0,2.5,12.13,2.403,467,,
62,24.8,,,,3.1,4.3,0.07,0.1,0,0,6.08,0,0,2.5,12.12,2.401,472,,
63,25.2,,,,3.1,4.3,0.07,0.1,0,0,6.08,0,0,2.5,12.12,2.401,472,,
64,25.6,,,,3.1,4.3,0.07,0.1,0,0,6.09,0,0,2.5,12.1,2.397,474,,
65,26,,,,2.9,4.3,0.07,0.1,0,0,6.09,0,0,2.5,12.08,2.394,479,,
66,26.4,,,,2.9,4.3,0.07,0.1,0,0,6.09,0,0,2.5,12.07,2.393,483,,
67,26.8,,,,3.2,4.3,0.08,0.1,0,0,6.1,0,0,2.5,12.06,2.39,487,,
68,27.2,,,,3.1,4.3,0.07,0.1,0,0,6.1,0,0,2.5,12.06,2.39,487,,
69,27.6,,,,3,4.3,0.07,0.1,0,0,6.1,0,0,2.5,12.07,2.391,489,,
70,28,,,,2.9,4.3,0.07,0.1,0,0,6.11,0,0,2.5,12.07,2.389,488,,
71,28.4,,,,2.8,4.3,0.07,0.1,0,0,6.11,0,0,2.5,12.07,2.389,491,,
72,28.8,,,,2.9,4.3,0.07,0.1,0,0,6.11,0,0,2.5,12.07,2.389,489,,
73,29.2,,,,2.8,4.3,0.07,0.1,0,0,6.11,0,0,2.5,12.07,2.389,489,,
74,29.6,,,,2.7,4.3,0.06,0.1,0,0,6.11,0,0,2.5,12.07,2.389,489,,
