Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,11.2,13.3,0.28,0.33,0.06,0.09,10.46,37,53,1.4,5.9,1.389,931,35,1006
2,0.8,,,,10.9,13.3,0.27,0.33,0.06,0.09,10.46,37,53,1.4,5.92,1.39,933,,
3,1.2,,,,11,13.3,0.27,0.33,0.06,0.09,10.46,37,53,1.4,5.94,1.391,931,,
4,1.6,,,,11.2,13.3,0.28,0.33,0.06,0.09,10.46,37,53,1.4,5.94,1.391,931,,
5,2,,,,11.9,13.3,0.29,0.33,0.06,0.09,10.47,37,53,1.4,5.93,1.39,931,,
6,2.4,,,,12.2,13.3,0.3,0.33,0.06,0.09,10.46,37,53,1.4,5.92,1.39,931,,
7,2.8,,,,12.3,13.3,0.31,0.33,0.06,0.09,10.47,37,53,1.4,5.91,1.389,931,,
8,3.2,,,,12.2,13.3,0.3,0.33,0.06,0.09,10.47,37,53,1.4,5.91,1.389,932,,
9,3.6,,,,12.4,13.3,0.31,0.33,0.06,0.09,10.47,37,53,1.4,5.91,1.389,932,,
10,4,,,,12.7,13.3,0.32,0.33,0.06,0.09,10.47,37,53,1.4,5.9,1.388,929,,
11,4.4,,,,12.9,13.3,0.32,0.33,0.05,0.07,10.47,37,53,1.4,5.86,1.387,923,,
12,4.8,,,,11.9,13.3,0.29,0.33,0.05,0.07,10.48,37,53,1.4,5.82,1.384,929,,
13,5.2,,,,11.5,13.3,0.28,0.33,0.05,0.07,10.54,38,54,1.4,5.79,1.379,913,,
14,5.6,,,,12.2,13.3,0.3,0.33,0.05,0.07,10.54,38,54,1.4,5.79,1.379,913,,
15,6,,,,12,13.3,0.3,0.33,0.05,0.07,10.54,38,54,1.4,5.77,1.378,917,,
16,6.4,,,,11.9,13.3,0.29,0.33,0.04,0.06,10.56,38,54,1.4,5.75,1.377,907,,
17,6.8,,,,11.7,13.3,0.29,0.33,0.04,0.06,10.58,38,54,1.4,5.74,1.375,900,,
18,7.2,,,,12.5,13.3,0.31,0.33,0.04,0.06,10.58,38,54,1.4,5.73,1.375,895,,
19,7.6,,,,12.2,13.3,0.3,0.33,0.04,0.06,10.58,38,54,1.4,5.73,1.375,895,,
20,8,,,,12.4,13.3,0.31,0.33,0.04,0.06,10.58,38,54,1.4,5.72,1.374,891,,
21,8.4,,,,12.4,13.3,0.31,0.33,0.03,0.04,10.58,38,54,1.4,5.71,1.374,888,,
22,8.8,,,,12.2,13.3,0.3,0.33,0.03,0.04,10.58,38,54,1.4,5.7,1.373,887,,
23,9.2,,,,11.4,13.3,0.28,0.33,0.03,0.04,10.6,38,54,1.4,5.73,1.375,886,,
24,9.6,,,,11.8,13.3,0.29,0.33,0.03,0.04,10.6,38,54,1.4,5.68,1.371,886,,
25,10,,,,12.7,13.3,0.32,0.33,0.03,0.04,10.59,38,54,1.4,5.67,1.371,885,,
26,10.4,,,,12.5,13.3,0.31,0.33,0.03,0.04,10.59,38,54,1.4,5.66,1.37,884,,
27,10.8,,,,11.8,13.3,0.29,0.33,0.03,0.04,10.6,38,54,1.4,5.65,1.369,885,,
28,11.2,,,,11.6,13.3,0.29,0.33,0.03,0.04,10.6,38,54,1.4,5.65,1.369,885,,
29,11.6,,,,12.1,13.3,0.3,0.33,0.03,0.04,10.6,38,54,1.4,5.66,1.37,884,,
30,12,,,,11.5,13.3,0.28,0.33,0.03,0.04,10.6,38,54,1.4,5.66,1.37,883,,
31,12.4,,,,12,13.3,0.3,0.33,0.03,0.04,10.6,38,54,1.4,5.65,1.369,883,,
32,12.8,,,,12.5,13.3,0.31,0.33,0.02,0.03,10.6,38,54,1.4,5.65,1.37,882,,
33,13.2,,,,12.3,13.3,0.31,0.33,0.02,0.03,10.6,38,54,1.4,5.65,1.37,882,,
34,13.6,,,,12.6,13.3,0.31,0.33,0.02,0.03,10.61,38,54,1.4,5.65,1.37,882,,
35,14,,,,12,13.3,0.3,0.33,0.02,0.03,10.62,38,54,1.4,5.65,1.37,881,,
36,14.4,,,,11.7,13.3,0.29,0.33,0.02,0.03,10.62,38,54,1.4,5.66,1.37,881,,
37,14.8,,,,11.8,13.3,0.29,0.33,0.02,0.03,10.62,39,55,1.4,5.66,1.37,880,,
38,15.2,,,,12.4,13.3,0.31,0.33,0.02,0.03,10.62,39,55,1.4,5.66,1.37,880,,
39,15.6,,,,12.3,13.3,0.31,0.33,0.02,0.03,10.62,39,55,1.4,5.67,1.371,880,,
40,16,,,,12.8,13.3,0.32,0.33,0.02,0.03,10.62,39,55,1.4,5.67,1.371,880,,
41,16.4,,,,13.3,13.3,0.33,0.33,0.02,0.03,10.62,39,55,1.4,5.67,1.371,881,,
42,16.8,,,,13.1,13.4,0.33,0.33,0.02,0.03,10.62,39,55,1.4,5.68,1.371,880,,
43,17.2,,,,12.5,13.4,0.31,0.33,0.02,0.03,10.62,39,55,1.4,5.68,1.371,880,,
44,17.6,,,,12.3,13.4,0.31,0.33,0.02,0.03,10.63,39,55,1.4,5.68,1.371,878,,
45,18,,,,12.2,13.4,0.3,0.33,0.02,0.03,10.63,39,55,1.4,5.68,1.371,879,,
46,18.4,,,,12.9,13.4,0.32,0.33,0.02,0.03,10.63,39,55,1.4,5.68,1.371,878,,
