Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.8,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.81,2.107,538,35,1006
2,0.8,,,,1.8,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.82,2.108,538,,
3,1.2,,,,1.8,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.83,2.109,537,,
4,1.6,,,,1.8,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.83,2.109,537,,
5,2,,,,1.7,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.84,2.11,536,,
6,2.4,,,,1.8,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.84,2.11,535,,
7,2.8,,,,1.9,14.6,0.04,0.37,0,0,6.81,47,104,2.2,10.85,2.111,536,,
8,3.2,,,,1.9,14.6,0.04,0.37,0,0,6.78,47,104,2.2,10.94,2.125,535,,
9,3.6,,,,1.8,14.6,0.04,0.37,0,0,6.78,47,104,2.2,10.94,2.125,535,,
10,4,,,,1.7,14.6,0.04,0.37,0,0,6.75,47,104,2.2,11.06,2.143,535,,
11,4.4,,,,1.5,14.6,0.04,0.37,0,0,6.74,47,105,2.2,11.1,2.149,534,,
12,4.8,,,,1.4,14.6,0.03,0.37,0,0,6.74,47,105,2.2,11.03,2.141,532,,
13,5.2,,,,1.6,14.6,0.04,0.37,0,0,6.75,47,104,2.2,10.91,2.127,530,,
14,5.6,,,,1.6,14.6,0.04,0.37,0,0,6.75,47,104,2.2,10.91,2.127,530,,
15,6,,,,1.7,14.6,0.04,0.37,0,0,6.76,47,104,2.2,10.8,2.114,530,,
16,6.4,,,,1.7,14.6,0.04,0.37,0,0,6.83,47,103,2.2,10.72,2.095,528,,
17,6.8,,,,1.6,14.6,0.04,0.37,0,0,6.83,47,103,2.2,10.67,2.09,527,,
18,7.2,,,,1.5,14.6,0.04,0.37,0,0,6.83,47,103,2.2,10.64,2.087,522,,
19,7.6,,,,1.6,14.6,0.04,0.37,0,0,6.83,47,103,2.2,10.64,2.087,522,,
20,8,,,,1.7,14.6,0.04,0.37,0,0,6.86,47,103,2.2,10.62,2.08,521,,
21,8.4,,,,1.6,14.6,0.04,0.37,0,0,6.87,47,103,2.2,10.6,2.076,520,,
22,8.8,,,,1.6,14.6,0.04,0.37,0,0,6.89,47,102,2.2,10.58,2.071,517,,
23,9.2,,,,1.6,14.6,0.04,0.37,0,0,6.91,47,102,2.2,10.56,2.066,516,,
24,9.6,,,,1.8,14.6,0.04,0.37,0,0,6.91,47,102,2.2,10.56,2.066,516,,
25,10,,,,1.8,14.6,0.04,0.37,0,0,6.92,47,102,2.2,10.55,2.063,515,,
26,10.4,,,,1.8,14.6,0.04,0.37,0,0,6.92,47,102,2.2,10.54,2.062,514,,
27,10.8,,,,1.7,14.6,0.04,0.37,0,0,6.92,47,102,2.2,10.53,2.061,513,,
28,11.2,,,,1.7,14.6,0.04,0.37,0,0,6.92,47,102,2.2,10.53,2.061,513,,
29,11.6,,,,1.9,14.6,0.04,0.37,0,0,6.92,47,102,2.2,10.53,2.061,513,,
30,12,,,,1.9,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.53,2.06,514,,
31,12.4,,,,1.7,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.53,2.06,513,,
32,12.8,,,,1.7,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.53,2.06,512,,
33,13.2,,,,1.6,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.53,2.06,512,,
34,13.6,,,,1.8,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.53,2.06,513,,
35,14,,,,1.8,14.6,0.04,0.37,0,0,6.93,47,102,2.2,10.54,2.061,514,,
36,14.4,,,,1.5,14.6,0.04,0.37,0,0,6.94,47,102,2.2,10.54,2.059,513,,
37,14.8,,,,1.4,14.6,0.03,0.37,0,0,6.94,47,102,2.2,10.54,2.059,513,,
38,15.2,,,,1.6,14.6,0.04,0.37,0,0,6.94,47,102,2.2,10.54,2.059,513,,
39,15.6,,,,1.7,14.6,0.04,0.37,0,0,6.94,47,102,2.2,10.54,2.059,513,,
40,16,,,,1.7,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.54,2.058,512,,
41,16.4,,,,1.7,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.54,2.058,511,,
42,16.8,,,,1.6,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.53,2.057,510,,
43,17.2,,,,1.5,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.53,2.057,510,,
44,17.6,,,,1.6,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.53,2.057,512,,
45,18,,,,1.5,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.52,2.056,511,,
46,18.4,,,,1.6,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.52,2.056,511,,
47,18.8,,,,1.8,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.52,2.056,511,,
48,19.2,,,,1.7,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.52,2.056,511,,
49,19.6,,,,1.5,14.6,0.04,0.37,0,0,6.95,47,101,2.2,10.52,2.056,510,,
50,20,,,,1.6,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
51,20.4,,,,1.8,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
52,20.8,,,,1.7,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
53,21.2,,,,1.7,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
54,21.6,,,,1.8,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.51,2.053,509,,
55,22,,,,1.7,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
56,22.4,,,,1.8,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,510,,
57,22.8,,,,1.7,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,509,,
58,23.2,,,,1.6,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,509,,
59,23.6,,,,1.6,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.53,2.055,509,,
60,24,,,,1.7,14.6,0.04,0.37,0,0,6.96,47,101,2.2,10.52,2.054,509,,
61,24.4,,,,1.6,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.52,2.053,509,,
62,24.8,,,,1.6,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.52,2.053,509,,
63,25.2,,,,1.6,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.52,2.053,509,,
64,25.6,,,,1.6,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.51,2.052,509,,
65,26,,,,1.5,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.51,2.052,509,,
66,26.4,,,,1.6,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.5,2.051,508,,
67,26.8,,,,1.7,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.5,2.051,508,,
68,27.2,,,,1.7,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.5,2.051,508,,
69,27.6,,,,1.7,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.5,2.051,509,,
70,28,,,,1.5,14.6,0.04,0.37,0,0,6.97,47,101,2.2,10.5,2.051,508,,
71,28.4,,,,1.4,14.6,0.03,0.37,0,0,6.98,47,101,2.1,10.51,2.05,508,,
72,28.8,,,,1.4,14.6,0.03,0.37,0,0,6.98,47,101,2.1,10.51,2.05,508,,
73,29.2,,,,1.6,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.51,2.05,508,,
74,29.6,,,,1.7,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.51,2.05,510,,
75,30,,,,1.7,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.51,2.05,510,,
76,30.4,,,,1.6,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.52,2.051,510,,
77,30.8,,,,1.7,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.52,2.051,510,,
78,31.2,,,,1.6,14.6,0.04,0.37,0,0,6.98,47,101,2.1,10.51,2.05,510,,
79,31.6,,,,1.6,14.6,0.04,0.37,0,0,7,47,101,2.1,10.51,2.047,511,,
80,32,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,510,,
81,32.4,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,511,,
82,32.8,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,511,,
83,33.2,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,512,,
84,33.6,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,511,,
85,34,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.52,2.047,511,,
86,34.4,,,,1.8,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.53,2.048,510,,
87,34.8,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.53,2.048,510,,
88,35.2,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,510,,
89,35.6,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,509,,
90,36,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,510,,
91,36.4,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.52,2.047,508,,
92,36.8,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.52,2.047,508,,
93,37.2,,,,1.8,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,505,,
94,37.6,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.5,2.045,506,,
95,38,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.49,2.044,507,,
96,38.4,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.48,2.043,507,,
97,38.8,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.48,2.043,507,,
98,39.2,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.48,2.043,508,,
99,39.6,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.49,2.044,510,,
100,40,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.51,2.046,512,,
101,40.4,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,511,,
102,40.8,,,,1.5,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,511,,
103,41.2,,,,1.7,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.55,2.05,511,,
104,41.6,,,,1.6,14.6,0.04,0.37,0,0,7.01,47,101,2.1,10.54,2.049,509,,
105,42,,,,1.7,14.6,0.04,0.37,0,0,7,47,101,2.1,10.53,2.049,505,,
106,42.4,,,,1.7,14.6,0.04,0.37,0,0,7,47,101,2.1,10.52,2.048,503,,
107,42.8,,,,1.8,14.6,0.04,0.37,0,0,7,47,101,2.1,10.52,2.048,503,,
108,43.2,,,,1.7,14.6,0.04,0.37,0,0,7,47,101,2.1,10.5,2.046,503,,
