Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.4,0,0,2.3,11.74,2.284,435,35,1013
2,0.8,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.96,0,0,2.5,11.99,2.408,434,,
3,1.2,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.96,0,0,2.5,11.99,2.408,434,,
4,1.6,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.96,0,0,2.5,12.26,2.44,434,,
5,2,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.96,0,0,2.5,12.35,2.45,433,,
6,2.4,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.99,0,0,2.5,12.25,2.431,432,,
7,2.8,,,,0.8,3.4,0.02,0.08,0.02,0.05,5.99,0,0,2.5,12.25,2.431,432,,
8,3.2,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.12,0,0,2.4,12.07,2.381,431,,
9,3.6,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.17,0,0,2.4,11.92,2.352,434,,
10,4,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.2,0,0,2.4,11.8,2.332,436,,
11,4.4,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.24,0,0,2.4,11.74,2.317,441,,
12,4.8,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.24,0,0,2.4,11.74,2.317,441,,
13,5.2,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.26,0,0,2.4,11.7,2.308,448,,
14,5.6,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.27,0,0,2.4,11.68,2.304,454,,
15,6,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.28,0,0,2.4,11.66,2.3,458,,
16,6.4,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.29,0,0,2.4,11.65,2.297,465,,
17,6.8,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.29,0,0,2.4,11.65,2.297,465,,
18,7.2,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.29,0,0,2.4,11.64,2.295,468,,
19,7.6,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.3,0,0,2.4,11.64,2.293,471,,
20,8,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.3,0,0,2.4,11.65,2.294,476,,
21,8.4,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.3,0,0,2.4,11.65,2.294,477,,
22,8.8,,,,0.8,3.4,0.02,0.08,0.02,0.05,6.3,0,0,2.4,11.65,2.294,477,,
23,9.2,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.3,0,0,2.4,11.65,2.297,479,,
24,9.6,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.31,0,0,2.4,11.64,2.294,481,,
25,10,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.32,0,0,2.4,11.64,2.292,480,,
26,10.4,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.32,0,0,2.4,11.64,2.292,480,,
27,10.8,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.32,0,0,2.4,11.64,2.292,480,,
28,11.2,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.32,0,0,2.4,11.63,2.291,480,,
29,11.6,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.33,0,0,2.4,11.63,2.289,481,,
30,12,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.33,0,0,2.4,11.62,2.288,481,,
31,12.4,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.34,0,0,2.4,11.62,2.286,481,,
32,12.8,,,,0.7,3.4,0.02,0.08,0.01,0.02,6.34,0,0,2.4,11.62,2.286,481,,
33,13.2,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.34,0,0,2.4,11.63,2.287,479,,
34,13.6,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.34,0,0,2.4,11.63,2.287,479,,
35,14,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.34,0,0,2.4,11.64,2.288,481,,
36,14.4,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.36,0,0,2.4,11.63,2.283,481,,
37,14.8,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.36,0,0,2.4,11.63,2.283,481,,
38,15.2,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.38,0,0,2.3,11.63,2.279,480,,
39,15.6,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
40,16,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
41,16.4,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
42,16.8,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
43,17.2,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
44,17.6,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.41,0,0,2.3,11.63,2.273,481,,
45,18,,,,0.8,3.4,0.02,0.08,0.01,0.02,6.42,0,0,2.3,11.63,2.271,482,,
