Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,2.6,14.6,0.06,0.37,0,0,8.55,42,74,1.8,10.19,1.832,789,35,1011
2,0.8,,,,3,14.6,0.07,0.37,0,0,8.55,42,74,1.8,10.19,1.832,789,,
3,1.2,,,,2.9,14.6,0.07,0.37,0,0,8.6,42,73,1.7,9.12,1.74,769,,
4,1.6,,,,2.9,14.6,0.07,0.37,0,0,8.61,42,73,1.7,8.53,1.692,752,,
5,2,,,,3,14.6,0.07,0.37,0,0,8.61,42,73,1.7,8.34,1.676,742,,
6,2.4,,,,3,14.6,0.07,0.37,0,0,8.61,42,73,1.7,8.33,1.675,743,,
7,2.8,,,,2.7,14.6,0.06,0.37,0,0,8.61,42,73,1.7,8.33,1.675,743,,
8,3.2,,,,2.8,14.6,0.07,0.37,0,0,8.62,42,73,1.7,8.32,1.674,749,,
9,3.6,,,,3,14.6,0.07,0.37,0,0,8.65,42,73,1.7,8.24,1.665,753,,
10,4,,,,2.9,14.6,0.07,0.37,0,0,8.7,42,72,1.7,8.13,1.652,754,,
11,4.4,,,,2.7,14.6,0.06,0.37,0,0,8.7,42,72,1.7,8.13,1.652,754,,
12,4.8,,,,2.7,14.6,0.06,0.37,0,0,8.72,42,72,1.7,8.03,1.643,753,,
13,5.2,,,,2.9,14.6,0.07,0.37,0,0,8.73,42,72,1.7,7.96,1.636,752,,
14,5.6,,,,3.2,14.6,0.08,0.37,0,0,8.75,42,72,1.7,7.92,1.632,749,,
15,6,,,,2.8,14.6,0.07,0.37,0,0,8.75,42,72,1.7,7.9,1.63,747,,
16,6.4,,,,2.8,14.6,0.07,0.37,0,0,8.75,42,72,1.7,7.9,1.63,747,,
17,6.8,,,,3.1,14.6,0.07,0.37,0,0,8.77,42,72,1.7,7.89,1.628,747,,
18,7.2,,,,3.2,14.6,0.08,0.37,0,0,8.78,42,72,1.7,7.88,1.626,746,,
19,7.6,,,,3,14.6,0.07,0.37,0,0,8.8,42,72,1.7,7.89,1.626,745,,
20,8,,,,3,14.6,0.07,0.37,0,0,8.81,42,72,1.7,7.89,1.625,745,,
21,8.4,,,,3,14.6,0.07,0.37,0,0,8.81,42,72,1.7,7.89,1.625,745,,
22,8.8,,,,3.1,14.6,0.07,0.37,0,0,8.81,42,72,1.7,7.9,1.626,744,,
23,9.2,,,,3,14.6,0.07,0.37,0,0,8.82,42,71,1.7,7.9,1.625,744,,
24,9.6,,,,2.8,14.6,0.07,0.37,0,0,8.82,42,71,1.7,7.89,1.624,743,,
25,10,,,,2.9,14.6,0.07,0.37,0,0,8.82,42,71,1.7,7.88,1.623,743,,
26,10.4,,,,2.5,14.6,0.06,0.37,0,0,8.82,42,71,1.7,7.88,1.623,743,,
27,10.8,,,,2.6,14.6,0.06,0.37,0,0,8.85,42,71,1.7,7.87,1.621,742,,
28,11.2,,,,2.6,14.6,0.06,0.37,0,0,8.86,42,71,1.7,7.85,1.618,741,,
29,11.6,,,,2.9,14.6,0.07,0.37,0,0,8.88,42,71,1.7,7.83,1.615,741,,
30,12,,,,2.6,14.6,0.06,0.37,0,0,8.89,42,71,1.7,7.82,1.614,742,,
31,12.4,,,,2.5,14.6,0.06,0.37,0,0,8.89,42,71,1.7,7.82,1.614,742,,
32,12.8,,,,3,14.6,0.07,0.37,0,0,8.89,42,71,1.7,7.81,1.613,742,,
33,13.2,,,,3,14.6,0.07,0.37,0,0,8.89,42,71,1.7,7.81,1.613,743,,
34,13.6,,,,2.9,14.6,0.07,0.37,0,0,8.89,42,71,1.7,7.83,1.615,743,,
35,14,,,,3,14.6,0.07,0.37,0,0,8.9,42,71,1.7,7.84,1.615,743,,
36,14.4,,,,3,14.6,0.07,0.37,0,0,8.9,42,71,1.7,7.84,1.615,743,,
37,14.8,,,,2.9,14.6,0.07,0.37,0,0,8.9,42,71,1.7,7.85,1.615,743,,
38,15.2,,,,3.1,14.6,0.07,0.37,0,0,8.9,42,71,1.7,7.85,1.615,742,,
39,15.6,,,,3.1,14.6,0.07,0.37,0,0,8.9,42,71,1.7,7.85,1.615,743,,
40,16,,,,3.1,14.6,0.07,0.37,0,0,8.9,41,69,1.7,7.84,1.615,742,,
41,16.4,,,,3.2,14.6,0.08,0.37,0,0,8.9,41,69,1.7,7.84,1.615,742,,
42,16.8,,,,2.8,14.6,0.07,0.37,0,0,8.9,41,69,1.7,7.84,1.615,741,,
43,17.2,,,,3,14.6,0.07,0.37,0,0,8.9,41,69,1.7,7.84,1.615,739,,
44,17.6,,,,2.6,14.6,0.06,0.37,0,0,8.91,41,69,1.7,7.83,1.613,738,,
45,18,,,,2.7,14.6,0.06,0.37,0,0,8.91,41,69,1.7,7.83,1.613,740,,
46,18.4,,,,3.1,14.6,0.07,0.37,0,0,8.91,41,69,1.7,7.83,1.613,740,,
47,18.8,,,,3.2,14.6,0.08,0.37,0,0,8.92,41,69,1.7,7.83,1.613,740,,
48,19.2,,,,3.3,14.6,0.08,0.37,0,0,8.92,41,69,1.7,7.83,1.613,739,,
49,19.6,,,,3,14.6,0.07,0.37,0,0,8.93,41,69,1.7,7.83,1.612,740,,
50,20,,,,3,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.83,1.611,740,,
51,20.4,,,,2.9,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.83,1.611,740,,
52,20.8,,,,2.8,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.83,1.611,740,,
53,21.2,,,,3.1,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.83,1.611,740,,
54,21.6,,,,3.1,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.83,1.611,741,,
55,22,,,,3.2,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.83,1.611,741,,
56,22.4,,,,3.2,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.83,1.611,741,,
57,22.8,,,,3.4,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.85,1.613,740,,
58,23.2,,,,3.3,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.87,1.614,740,,
59,23.6,,,,3.3,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.87,1.614,738,,
60,24,,,,3.3,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.85,1.613,736,,
61,24.4,,,,3.2,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.85,1.613,736,,
62,24.8,,,,3.2,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.82,1.61,737,,
63,25.2,,,,3.1,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.8,1.609,736,,
64,25.6,,,,3.2,14.6,0.08,0.37,0,0,8.94,41,69,1.7,7.79,1.608,735,,
65,26,,,,3,14.6,0.07,0.37,0,0,8.94,41,69,1.7,7.79,1.608,735,,
66,26.4,,,,3.2,14.6,0.08,0.37,0,0,8.95,41,69,1.7,7.79,1.607,737,,
67,26.8,,,,3.2,14.6,0.08,0.37,0,0,8.97,41,69,1.7,7.8,1.607,739,,
68,27.2,,,,3.2,14.6,0.08,0.37,0,0,8.97,41,69,1.7,7.8,1.607,739,,
69,27.6,,,,3,14.6,0.07,0.37,0,0,8.97,41,69,1.7,7.79,1.606,743,,
70,28,,,,3.3,14.6,0.08,0.37,0,0,8.97,41,69,1.7,7.79,1.606,743,,
71,28.4,,,,3.1,14.6,0.07,0.37,0,0,8.98,41,68,1.7,7.77,1.604,743,,
72,28.8,,,,3.1,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.76,1.602,745,,
73,29.2,,,,3,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.76,1.602,743,,
74,29.6,,,,3.1,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.76,1.602,741,,
75,30,,,,3,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.76,1.602,741,,
76,30.4,,,,2.9,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.76,1.602,742,,
77,30.8,,,,3.1,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.77,1.603,741,,
78,31.2,,,,3.3,14.6,0.08,0.37,0,0,8.99,41,68,1.7,7.77,1.603,739,,
79,31.6,,,,3.1,14.6,0.07,0.37,0,0,8.99,41,68,1.7,7.78,1.604,740,,
