Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.9,3.6,0.04,0.09,0.03,0.06,7.34,7,14,2,10.48,1.997,538,35,1006
2,0.8,,,,2.2,3.6,0.05,0.09,0.03,0.06,7.64,7,14,2,10.18,1.93,537,,
3,1.2,,,,2.4,3.6,0.06,0.09,0.03,0.06,7.67,7,14,1.9,10,1.91,540,,
4,1.6,,,,2.3,3.6,0.05,0.09,0.03,0.06,7.67,7,14,1.9,10,1.91,540,,
5,2,,,,2,3.6,0.05,0.09,0.03,0.06,7.75,7,13,1.9,9.84,1.886,548,,
6,2.4,,,,2,3.6,0.05,0.09,0.03,0.06,7.79,7,13,1.9,9.7,1.869,559,,
7,2.8,,,,1.9,3.6,0.04,0.09,0.03,0.06,7.86,7,13,1.9,9.59,1.852,573,,
8,3.2,,,,1.9,3.6,0.04,0.09,0.03,0.06,7.88,7,13,1.9,9.52,1.843,589,,
9,3.6,,,,2.1,3.6,0.05,0.09,0.03,0.06,7.88,7,13,1.9,9.52,1.843,589,,
10,4,,,,2.1,3.6,0.05,0.09,0.03,0.06,7.88,7,13,1.9,9.48,1.84,599,,
11,4.4,,,,2.1,3.6,0.05,0.09,0.03,0.06,7.88,7,13,1.9,9.48,1.84,609,,
12,4.8,,,,1.8,3.6,0.04,0.09,0.03,0.06,7.89,7,13,1.9,9.48,1.839,617,,
13,5.2,,,,1.6,3.6,0.04,0.09,0.03,0.06,7.89,7,13,1.9,9.48,1.839,617,,
14,5.6,,,,1.6,3.6,0.04,0.09,0.03,0.06,7.89,7,13,1.9,9.47,1.838,623,,
15,6,,,,1.8,3.6,0.04,0.09,0.03,0.06,7.89,7,13,1.9,9.45,1.836,626,,
16,6.4,,,,2,3.6,0.05,0.09,0.02,0.04,7.9,7,13,1.9,9.43,1.835,629,,
17,6.8,,,,1.9,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.42,1.834,633,,
18,7.2,,,,1.9,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.42,1.834,633,,
19,7.6,,,,2.1,3.6,0.05,0.09,0.02,0.04,7.9,7,13,1.9,9.42,1.834,634,,
20,8,,,,1.9,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.43,1.835,638,,
21,8.4,,,,1.7,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.45,1.837,642,,
22,8.8,,,,1.4,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.45,1.837,643,,
23,9.2,,,,1.2,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.45,1.837,643,,
24,9.6,,,,1.3,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.45,1.837,645,,
25,10,,,,1.3,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.46,1.838,647,,
26,10.4,,,,1.7,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.48,1.839,648,,
27,10.8,,,,1.7,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.51,1.842,649,,
28,11.2,,,,1.6,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.51,1.842,649,,
29,11.6,,,,1.7,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.55,1.846,647,,
30,12,,,,1.5,3.6,0.04,0.09,0.02,0.04,7.9,7,13,1.9,9.57,1.847,646,,
31,12.4,,,,1.4,3.6,0.03,0.09,0.02,0.04,7.89,7,13,1.9,9.56,1.848,643,,
32,12.8,,,,1.7,3.6,0.04,0.09,0.02,0.04,7.89,7,13,1.9,9.54,1.846,639,,
33,13.2,,,,1.5,3.6,0.04,0.09,0.02,0.04,7.89,7,13,1.9,9.54,1.846,639,,
34,13.6,,,,1.3,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.52,1.843,638,,
35,14,,,,1.3,3.6,0.03,0.09,0.02,0.04,7.9,7,13,1.9,9.51,1.842,634,,
36,14.4,,,,1,3.6,0.02,0.09,0.02,0.04,7.89,7,13,1.9,9.51,1.843,634,,
37,14.8,,,,1.2,3.6,0.03,0.09,0.02,0.04,7.89,7,13,1.9,9.53,1.845,634,,
38,15.2,,,,1.2,3.6,0.03,0.09,0.02,0.04,7.89,7,13,1.9,9.53,1.845,634,,
39,15.6,,,,1.1,3.6,0.03,0.09,0.02,0.04,7.89,7,13,1.9,9.56,1.848,634,,
40,16,,,,0.9,3.6,0.02,0.09,0.02,0.04,7.89,7,13,1.9,9.6,1.851,636,,
41,16.4,,,,0.9,3.6,0.02,0.09,0.02,0.04,7.88,7,13,1.9,9.63,1.855,635,,
42,16.8,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.88,7,13,1.9,9.64,1.856,634,,
43,17.2,,,,0.7,3.6,0.02,0.09,0.02,0.04,7.88,7,13,1.9,9.64,1.856,634,,
44,17.6,,,,0.6,3.6,0.01,0.09,0.02,0.04,7.88,7,13,1.9,9.64,1.856,631,,
45,18,,,,0.9,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.62,1.855,628,,
46,18.4,,,,1,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.61,1.854,628,,
47,18.8,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.61,1.854,627,,
48,19.2,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.61,1.854,627,,
49,19.6,,,,0.7,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.61,1.854,628,,
50,20,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.87,7,13,1.9,9.63,1.856,628,,
51,20.4,,,,0.7,3.6,0.02,0.09,0.02,0.04,7.86,7,13,1.9,9.66,1.86,630,,
52,20.8,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.86,7,13,1.9,9.66,1.86,630,,
53,21.2,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.85,7,13,1.9,9.71,1.865,630,,
54,21.6,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.85,7,13,1.9,9.75,1.869,630,,
55,22,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.84,7,13,1.9,9.77,1.872,628,,
56,22.4,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.84,7,13,1.9,9.77,1.872,628,,
57,22.8,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.84,7,13,1.9,9.77,1.872,624,,
58,23.2,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.84,7,13,1.9,9.77,1.872,624,,
59,23.6,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.83,7,13,1.9,9.77,1.873,623,,
60,24,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.83,7,13,1.9,9.79,1.875,622,,
61,24.4,,,,0.9,3.6,0.02,0.09,0.02,0.04,7.79,7,13,1.9,9.81,1.881,623,,
62,24.8,,,,1.1,3.6,0.03,0.09,0.02,0.04,7.79,7,13,1.9,9.81,1.881,623,,
63,25.2,,,,1,3.6,0.02,0.09,0.02,0.04,7.78,7,13,1.9,9.83,1.884,623,,
64,25.6,,,,1,3.6,0.02,0.09,0.02,0.04,7.75,7,14,1.9,9.87,1.891,624,,
65,26,,,,0.9,3.6,0.02,0.09,0.02,0.04,7.72,7,14,1.9,9.9,1.897,625,,
66,26.4,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.72,7,14,1.9,9.92,1.899,624,,
67,26.8,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.72,7,14,1.9,9.92,1.899,624,,
68,27.2,,,,0.6,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.93,1.901,622,,
69,27.6,,,,0.6,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.92,1.9,617,,
70,28,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.9,1.898,621,,
71,28.4,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.88,1.896,619,,
72,28.8,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.88,1.896,619,,
73,29.2,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.71,7,14,1.9,9.86,1.895,617,,
74,29.6,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.7,7,14,1.9,9.84,1.894,616,,
75,30,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,7,14,1.9,9.84,1.894,618,,
76,30.4,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.84,1.894,624,,
77,30.8,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.84,1.894,624,,
78,31.2,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.85,1.895,623,,
79,31.6,,,,0.5,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.86,1.896,623,,
80,32,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.86,1.896,626,,
81,32.4,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.85,1.895,622,,
82,32.8,,,,0.7,3.6,0.02,0.09,0.02,0.04,7.7,8,16,1.9,9.85,1.895,622,,
83,33.2,,,,0.6,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.83,1.893,621,,
84,33.6,,,,0.7,3.6,0.02,0.09,0.02,0.04,7.7,8,16,1.9,9.82,1.892,621,,
85,34,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.7,8,16,1.9,9.82,1.892,623,,
86,34.4,,,,0.8,3.6,0.02,0.09,0.02,0.04,7.7,8,16,1.9,9.82,1.892,620,,
87,34.8,,,,0.6,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.82,1.892,620,,
88,35.2,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.7,8,16,1.9,9.82,1.892,620,,
89,35.6,,,,0.2,3.6,0,0.09,0.02,0.04,7.69,8,16,1.9,9.82,1.893,621,,
90,36,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.69,8,16,1.9,9.83,1.894,626,,
91,36.4,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.69,8,16,1.9,9.83,1.894,631,,
92,36.8,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.69,8,16,1.9,9.83,1.894,631,,
93,37.2,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.69,8,16,1.9,9.84,1.895,632,,
94,37.6,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.68,8,16,1.9,9.85,1.897,630,,
95,38,,,,0.4,3.6,0.01,0.09,0.02,0.04,7.68,8,16,1.9,9.87,1.899,631,,
96,38.4,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.68,8,16,1.9,9.89,1.901,634,,
97,38.8,,,,0.3,3.6,0.01,0.09,0.02,0.04,7.68,8,16,1.9,9.89,1.901,634,,
98,39.2,,,,0.2,3.6,0,0.09,0.02,0.04,7.68,8,16,1.9,9.92,1.903,638,,
99,39.6,,,,0.2,3.6,0,0.09,0.02,0.04,7.67,8,16,2,9.95,1.907,630,,
100,40,,,,0.1,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.96,1.91,626,,
101,40.4,,,,0.2,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.96,1.91,621,,
102,40.8,,,,0.2,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.96,1.91,621,,
103,41.2,,,,0.2,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.95,1.909,614,,
104,41.6,,,,0.2,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.94,1.908,611,,
105,42,,,,0.2,3.6,0,0.09,0.01,0.02,7.67,8,16,2,9.94,1.908,607,,
106,42.4,,,,0.2,3.6,0,0.09,0.01,0.02,7.65,8,16,2,9.94,1.91,605,,
