Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,1.8,14.6,0.04,0.37,0,0,6.56,20,46,2.3,11.1,2.186,509,35,1011
2,0.8,,,,1.7,14.6,0.04,0.37,0,0,6.56,20,46,2.3,11.15,2.191,509,,
3,1.2,,,,1.8,14.6,0.04,0.37,0,0,6.56,20,46,2.3,11.1,2.186,509,,
4,1.6,,,,2,14.6,0.05,0.37,0,0,6.56,21,48,2.3,11.1,2.185,511,,
5,2,,,,1.9,14.6,0.04,0.37,0,0,6.56,21,48,2.3,11.1,2.185,511,,
6,2.4,,,,1.8,14.6,0.04,0.37,0,0,6.52,21,48,2.3,11.13,2.196,510,,
7,2.8,,,,1.6,14.6,0.04,0.37,0,0,6.52,21,48,2.3,11.13,2.196,510,,
8,3.2,,,,1.6,14.6,0.04,0.37,0,0,6.45,22,51,2.3,11.24,2.221,511,,
9,3.6,,,,1.6,14.6,0.04,0.37,0,0,6.44,22,51,2.3,11.38,2.238,510,,
10,4,,,,1.6,14.6,0.04,0.37,0,0,6.43,22,51,2.3,11.42,2.244,509,,
11,4.4,,,,1.5,14.6,0.04,0.37,0,0,6.44,24,56,2.3,11.35,2.234,509,,
12,4.8,,,,1.6,14.6,0.04,0.37,0,0,6.44,24,56,2.3,11.35,2.234,509,,
13,5.2,,,,1.6,14.6,0.04,0.37,0,0,6.47,24,56,2.3,11.23,2.215,507,,
14,5.6,,,,1.7,14.6,0.04,0.37,0,0,6.48,24,56,2.3,11.14,2.204,508,,
15,6,,,,1.9,14.6,0.04,0.37,0,0,6.48,25,58,2.3,11.08,2.197,506,,
16,6.4,,,,2,14.6,0.05,0.37,0,0,6.48,25,58,2.3,11.05,2.194,505,,
17,6.8,,,,2,14.6,0.05,0.37,0,0,6.48,25,58,2.3,11.05,2.194,505,,
18,7.2,,,,2,14.6,0.05,0.37,0,0,6.48,25,58,2.3,11.03,2.192,504,,
19,7.6,,,,1.8,14.6,0.04,0.37,0,0,6.49,26,60,2.3,11.02,2.188,502,,
20,8,,,,1.7,14.6,0.04,0.37,0,0,6.49,26,60,2.3,11.01,2.187,500,,
21,8.4,,,,1.8,14.6,0.04,0.37,0,0,6.5,26,60,2.3,11,2.184,498,,
22,8.8,,,,1.7,14.6,0.04,0.37,0,0,6.5,26,60,2.3,11,2.184,498,,
23,9.2,,,,1.6,14.6,0.04,0.37,0,0,6.51,26,60,2.3,10.99,2.182,499,,
24,9.6,,,,1.6,14.6,0.04,0.37,0,0,6.51,27,62,2.3,10.98,2.18,497,,
25,10,,,,1.6,14.6,0.04,0.37,0,0,6.52,27,62,2.3,10.98,2.178,497,,
26,10.4,,,,1.5,14.6,0.04,0.37,0,0,6.53,27,62,2.3,10.97,2.176,495,,
27,10.8,,,,1.6,14.6,0.04,0.37,0,0,6.53,27,62,2.3,10.97,2.176,495,,
28,11.2,,,,1.7,14.6,0.04,0.37,0,0,6.54,27,62,2.3,10.97,2.174,495,,
29,11.6,,,,1.6,14.6,0.04,0.37,0,0,6.54,27,62,2.3,10.97,2.174,495,,
30,12,,,,1.5,14.6,0.04,0.37,0,0,6.54,27,62,2.3,10.97,2.174,495,,
31,12.4,,,,1.6,14.6,0.04,0.37,0,0,6.54,27,62,2.3,10.96,2.173,495,,
32,12.8,,,,1.6,14.6,0.04,0.37,0,0,6.54,27,62,2.3,10.96,2.173,495,,
33,13.2,,,,1.5,14.6,0.04,0.37,0,0,6.54,28,64,2.3,10.96,2.173,494,,
34,13.6,,,,1.5,14.6,0.04,0.37,0,0,6.54,28,64,2.3,10.95,2.171,495,,
35,14,,,,1.6,14.6,0.04,0.37,0,0,6.55,28,64,2.3,10.95,2.17,495,,
36,14.4,,,,1.6,14.6,0.04,0.37,0,0,6.55,28,64,2.3,10.95,2.17,496,,
37,14.8,,,,1.6,14.6,0.04,0.37,0,0,6.55,28,64,2.3,10.95,2.17,496,,
38,15.2,,,,1.6,14.6,0.04,0.37,0,0,6.55,28,64,2.3,10.95,2.17,496,,
39,15.6,,,,1.8,14.6,0.04,0.37,0,0,6.55,29,66,2.3,10.95,2.169,495,,
40,16,,,,1.8,14.6,0.04,0.37,0,0,6.55,29,66,2.3,10.95,2.169,496,,
41,16.4,,,,1.7,14.6,0.04,0.37,0,0,6.55,29,66,2.3,10.95,2.169,496,,
42,16.8,,,,1.6,14.6,0.04,0.37,0,0,6.55,29,66,2.3,10.95,2.169,496,,
43,17.2,,,,1.7,14.6,0.04,0.37,0,0,6.56,29,66,2.3,10.95,2.168,495,,
44,17.6,,,,1.5,14.6,0.04,0.37,0,0,6.57,29,66,2.3,10.95,2.166,497,,
45,18,,,,1.6,14.6,0.04,0.37,0,0,6.57,29,66,2.3,10.95,2.166,496,,
46,18.4,,,,1.6,14.6,0.04,0.37,0,0,6.57,29,66,2.3,10.95,2.166,496,,
47,18.8,,,,1.5,14.6,0.04,0.37,0,0,6.57,29,66,2.3,10.95,2.166,495,,
48,19.2,,,,1.8,14.6,0.04,0.37,0,0,6.58,29,66,2.3,10.95,2.164,496,,
49,19.6,,,,1.7,14.6,0.04,0.37,0,0,6.58,30,68,2.3,10.96,2.165,494,,
50,20,,,,1.6,14.6,0.04,0.37,0,0,6.58,30,68,2.3,10.95,2.164,496,,
51,20.4,,,,1.6,14.6,0.04,0.37,0,0,6.58,30,68,2.3,10.95,2.164,496,,
52,20.8,,,,1.6,14.6,0.04,0.37,0,0,6.6,30,68,2.3,10.95,2.16,495,,
53,21.2,,,,1.6,14.6,0.04,0.37,0,0,6.6,30,68,2.3,10.95,2.16,496,,
54,21.6,,,,1.6,14.6,0.04,0.37,0,0,6.6,31,70,2.3,10.95,2.16,496,,
55,22,,,,1.6,14.6,0.04,0.37,0,0,6.6,31,70,2.3,10.95,2.16,496,,
